,home_win_percentage,away_win_percentage,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded
Everton,0.3263157894736842,0.22105263157894736,1.0315789473684212,0.8421052631578947,1.1157894736842104,1.4421052631578948
Manchester United,0.5052631578947369,0.37894736842105264,1.5789473684210527,1.2210526315789474,1.0421052631578946,1.2842105263157895
Ipswich Town,0.0,0.10526315789473684,0.3157894736842105,0.5263157894736842,0.631578947368421,0.8421052631578947
Watford,0.10526315789473684,0.21052631578947367,0.8947368421052632,0.8947368421052632,2.4210526315789473,1.631578947368421
Southampton,0.2236842105263158,0.14473684210526316,1.013157894736842,0.7894736842105263,1.4078947368421053,1.8026315789473684
Crystal Palace,0.30526315789473685,0.22105263157894736,1.168421052631579,0.9894736842105263,1.1368421052631579,1.3894736842105264
Wolverhampton Wanderers,0.3368421052631579,0.22105263157894736,1.0315789473684212,0.8526315789473684,1.263157894736842,1.4526315789473685
Brentford,0.3815789473684211,0.21052631578947367,1.4736842105263157,1.0789473684210527,1.144736842105263,1.4473684210526316
Norwich City,0.15789473684210525,0.10526315789473684,0.631578947368421,0.5789473684210527,2.263157894736842,2.1578947368421053
Liverpool,0.6210526315789474,0.45263157894736844,1.9789473684210526,1.7473684210526317,0.7157894736842105,1.063157894736842
West Ham United,0.3894736842105263,0.29473684210526313,1.4105263157894736,1.168421052631579,1.2210526315789474,1.4736842105263157
Nottingham Forest,0.2982456140350877,0.15789473684210525,1.1228070175438596,0.7719298245614035,1.0701754385964912,1.631578947368421
AFC Bournemouth,0.2982456140350877,0.24561403508771928,1.0175438596491229,1.0,1.105263157894737,1.6842105263157894
Arsenal,0.5789473684210527,0.49473684210526314,1.8631578947368421,1.5473684210526315,0.8947368421052632,0.9368421052631579
Manchester City,0.6736842105263158,0.5894736842105263,2.4,1.8105263157894738,0.8105263157894737,0.7473684210526316
Burnley,0.19298245614035087,0.19298245614035087,0.8947368421052632,1.0,1.6666666666666667,1.5964912280701755
Fulham,0.3026315789473684,0.21052631578947367,1.118421052631579,1.0,1.236842105263158,1.25
West Bromwich Albion,0.15789473684210525,0.10526315789473684,0.7894736842105263,1.0526315789473684,2.0526315789473686,1.9473684210526316
Leicester City,0.34210526315789475,0.2631578947368421,1.3421052631578947,1.3157894736842106,1.2105263157894737,1.5657894736842106
Leeds United,0.2982456140350877,0.2982456140350877,1.280701754385965,1.3859649122807018,1.6842105263157894,2.017543859649123
Chelsea,0.4105263157894737,0.42105263157894735,1.5368421052631578,1.4736842105263157,0.9894736842105263,1.0947368421052632
Aston Villa,0.43157894736842106,0.3473684210526316,1.6,1.1157894736842104,1.2,1.2421052631578948
Tottenham Hotspur,0.5473684210526316,0.3473684210526316,1.768421052631579,1.568421052631579,1.0736842105263158,1.3263157894736841
Luton Town,0.21052631578947367,0.10526315789473684,1.4736842105263157,1.263157894736842,1.9473684210526316,2.526315789473684
Sheffield United,0.18421052631578946,0.07894736842105263,0.8157894736842105,0.631578947368421,2.210526315789474,2.1842105263157894
Brighton & Hove Albion,0.3157894736842105,0.28421052631578947,1.2736842105263158,1.2,1.105263157894737,1.3157894736842106
Newcastle United,0.43157894736842106,0.28421052631578947,1.568421052631579,1.231578947368421,1.0947368421052632,1.431578947368421
