Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
E0,16/08/2024,Man United,Fulham,1,0,H,0,0,D,R Jones,14,10,5,2,12,10,7,8,2,3,0,0,1.6,4.2,5.25,1.63,4.38,5.3,1.65,4.2,5.0,1.65,4.23,5.28
E0,17/08/2024,Ipswich,Liverpool,0,2,A,0,0,D,T Robinson,7,18,2,5,9,18,2,10,3,1,0,0,8.5,5.5,1.33,8.18,5.84,1.34,8.5,5.5,1.33,8.14,6.09,1.34
E0,17/08/2024,Arsenal,Wolves,2,0,H,1,0,H,J Gillett,18,9,6,3,17,14,8,2,2,2,0,0,1.18,7.5,13.0,1.16,8.56,16.22,1.18,7.0,17.0,1.15,9.05,18.76
E0,17/08/2024,Everton,Brighton,0,3,A,0,1,A,S Hooper,9,10,1,5,8,8,1,5,1,1,1,0,2.63,3.3,2.63,2.73,3.36,2.71,2.6,3.5,2.7,3.15,3.41,2.4
E0,17/08/2024,Newcastle,Southampton,1,0,H,1,0,H,C Pawson,3,19,1,4,15,16,3,12,2,4,1,0,1.36,5.25,8.0,1.35,5.7,8.25,1.35,5.5,8.0,1.42,5.3,7.26
E0,17/08/2024,Nott'm Forest,Bournemouth,1,1,D,1,0,H,M Oliver,14,13,8,4,17,8,2,6,1,3,0,0,2.45,3.5,2.8,2.47,3.42,2.97,2.5,3.5,2.8,2.24,3.5,3.37
E0,17/08/2024,West Ham,Aston Villa,1,2,A,1,1,D,T Harrington,14,15,3,3,18,11,5,3,1,2,0,0,2.45,3.6,2.75,2.49,3.65,2.8,2.4,3.75,2.75,2.54,3.51,2.86
E0,18/08/2024,Brentford,Crystal Palace,2,1,H,1,0,H,S Barrott,9,14,5,6,6,15,4,7,1,5,0,0,2.4,3.4,2.9,2.5,3.4,2.95,2.45,3.5,2.88,2.92,3.24,2.66
E0,18/08/2024,Chelsea,Man City,0,2,A,0,1,A,A Taylor,10,11,3,5,12,9,4,3,1,1,0,0,4.1,3.9,1.8,4.19,3.93,1.84,4.0,4.0,1.83,3.86,3.91,1.97
E0,19/08/2024,Leicester,Tottenham,1,1,D,0,1,A,C Kavanagh,7,15,3,7,11,12,2,13,1,1,0,0,5.0,4.33,1.62,5.09,4.39,1.63,5.0,4.33,1.65,4.64,4.33,1.71
E0,24/08/2024,Brighton,Man United,2,1,H,1,0,H,C Pawson,14,11,5,4,9,13,4,4,1,2,0,0,2.5,3.7,2.63,2.51,3.66,2.76,2.5,3.7,2.7,2.42,3.76,2.86
E0,24/08/2024,Crystal Palace,West Ham,0,2,A,0,0,D,R Jones,14,18,2,3,9,17,3,3,1,1,0,0,2.15,3.6,3.2,2.17,3.68,3.33,2.2,3.5,3.3,1.97,3.84,3.84
E0,24/08/2024,Fulham,Leicester,2,1,H,1,1,D,D Bond,18,10,6,4,14,13,7,5,2,2,0,0,1.8,3.75,4.2,1.84,3.67,4.56,1.83,3.7,4.33,1.88,3.81,4.26
E0,24/08/2024,Man City,Ipswich,4,1,H,3,1,H,M Salisbury,14,1,5,1,4,15,10,1,2,3,0,0,1.08,12.0,21.0,1.08,13.21,25.71,1.1,11.0,26.0,1.1,11.0,31.0
E0,24/08/2024,Southampton,Nott'm Forest,0,1,A,0,0,D,S Barrott,5,23,1,8,14,14,4,10,3,3,0,0,2.55,3.3,2.8,2.59,3.28,2.92,2.5,3.4,2.88,2.33,3.54,3.11
E0,24/08/2024,Tottenham,Everton,4,0,H,2,0,H,A Taylor,13,10,7,1,11,15,12,5,0,0,0,0,1.44,4.75,6.5,1.45,4.87,7.03,1.44,4.8,7.0,1.37,5.66,8.0
E0,24/08/2024,Aston Villa,Arsenal,0,2,A,0,0,D,M Oliver,11,9,3,4,8,15,4,1,1,3,0,0,4.33,3.8,1.75,4.55,3.98,1.77,4.33,3.9,1.8,4.85,4.04,1.74
E0,25/08/2024,Bournemouth,Newcastle,1,1,D,1,0,H,D Coote,16,14,4,5,19,8,8,9,2,2,0,0,2.9,3.8,2.2,3.05,3.73,2.28,3.0,3.8,2.25,2.63,3.66,2.68
E0,25/08/2024,Wolves,Chelsea,2,6,A,2,2,D,D England,12,14,4,8,13,13,5,5,2,3,0,0,4.33,4.0,1.75,4.46,4.03,1.78,4.4,4.0,1.75,3.91,3.94,1.93
E0,25/08/2024,Liverpool,Brentford,2,0,H,1,0,H,S Attwell,19,8,8,2,10,7,9,4,2,3,0,0,1.27,5.75,11.0,1.25,7.05,10.11,1.25,6.5,11.0,1.22,7.75,12.5
E0,31/08/2024,Arsenal,Brighton,1,1,D,1,0,H,C Kavanagh,11,22,7,4,12,7,3,7,3,2,1,0,1.33,5.5,8.5,1.34,5.87,8.1,1.33,5.5,8.5,1.37,5.48,8.43
E0,31/08/2024,Brentford,Southampton,3,1,H,1,0,H,J Smith,20,18,7,6,10,7,2,8,2,1,0,0,1.75,3.9,4.33,1.79,3.9,4.51,1.75,3.9,4.6,1.82,3.91,4.46
E0,31/08/2024,Everton,Bournemouth,2,3,A,0,0,D,S Attwell,18,17,8,7,6,1,8,4,2,1,0,0,2.75,3.4,2.55,2.82,3.38,2.62,2.75,3.4,2.6,3.14,3.45,2.39
E0,31/08/2024,Ipswich,Fulham,1,1,D,1,1,D,L Smith,11,9,4,4,15,15,8,6,2,3,0,0,3.0,3.5,2.3,3.14,3.53,2.32,3.1,3.5,2.3,3.07,3.43,2.43
E0,31/08/2024,Leicester,Aston Villa,1,2,A,0,1,A,D Coote,9,10,3,5,13,21,1,4,4,5,0,0,4.5,4.0,1.7,4.8,4.09,1.71,4.6,3.9,1.75,4.01,3.87,1.92
E0,31/08/2024,Nott'm Forest,Wolves,1,1,D,1,1,D,S Hooper,16,11,5,3,15,18,7,3,3,4,0,0,2.0,3.7,3.7,2.02,3.7,3.71,2.05,3.6,3.6,2.0,3.7,3.88
E0,31/08/2024,West Ham,Man City,1,3,A,1,2,A,M Oliver,10,23,2,8,10,3,3,11,3,2,0,0,7.0,5.5,1.38,7.69,5.64,1.37,8.0,5.0,1.4,7.7,5.25,1.41
E0,01/09/2024,Chelsea,Crystal Palace,1,1,D,1,0,H,J Gillett,13,9,7,3,9,13,4,5,4,2,0,0,1.6,4.33,5.0,1.63,4.4,5.06,1.65,4.33,5.0,1.68,4.24,5.05
E0,01/09/2024,Newcastle,Tottenham,2,1,H,1,0,H,R Jones,9,20,3,6,16,13,7,12,4,4,0,0,2.5,4.0,2.5,2.5,3.96,2.62,2.5,4.0,2.5,2.53,3.89,2.66
E0,01/09/2024,Man United,Liverpool,0,3,A,0,2,A,A Taylor,8,11,3,3,7,7,5,2,4,1,0,0,3.7,4.2,1.85,3.93,4.31,1.82,3.8,4.2,1.85,3.51,4.11,2.0
E0,14/09/2024,Southampton,Man United,0,3,A,0,2,A,S Attwell,6,20,4,10,11,14,0,7,1,4,1,0,4.5,4.0,1.7,4.5,4.13,1.74,4.75,3.8,1.75,4.2,4.12,1.82
E0,14/09/2024,Brighton,Ipswich,0,0,D,0,0,D,S Barrott,21,6,6,1,14,16,9,2,4,3,0,0,1.38,5.0,7.5,1.38,5.13,8.05,1.4,5.0,8.0,1.53,4.61,6.22
E0,14/09/2024,Crystal Palace,Leicester,2,2,D,0,1,A,T Harrington,20,9,4,4,11,15,5,2,0,3,0,0,1.62,4.0,5.5,1.62,4.13,5.48,1.65,4.0,5.5,1.67,4.02,5.43
E0,14/09/2024,Fulham,West Ham,1,1,D,1,0,H,T Robinson,21,11,5,3,15,18,3,2,2,3,0,0,2.38,3.25,3.0,2.4,3.53,2.97,2.5,3.4,2.88,2.36,3.41,3.21
E0,14/09/2024,Liverpool,Nott'm Forest,0,1,A,0,0,D,M Oliver,15,5,5,3,15,6,7,2,4,4,0,0,1.22,6.5,12.0,1.21,7.23,12.71,1.22,6.5,13.0,1.22,7.11,12.95
E0,14/09/2024,Man City,Brentford,2,1,H,2,1,H,D Bond,18,8,7,5,9,3,12,3,3,1,0,0,1.18,8.0,12.0,1.17,8.43,14.62,1.18,7.5,15.0,1.21,7.2,13.92
E0,14/09/2024,Aston Villa,Everton,3,2,H,1,2,A,C Pawson,17,6,8,2,10,12,6,2,1,4,0,0,1.5,4.2,6.5,1.51,4.45,6.48,1.5,4.4,6.5,1.68,4.0,5.44
E0,14/09/2024,Bournemouth,Chelsea,0,1,A,0,0,D,A Taylor,10,5,4,1,10,4,3,2,3,3,0,0,3.4,3.8,2.0,3.32,3.97,2.06,3.4,3.9,2.05,3.17,3.79,2.23
E0,15/09/2024,Tottenham,Arsenal,0,1,A,0,0,D,J Gillett,15,7,5,4,13,10,7,6,5,3,0,0,3.0,3.5,2.3,3.03,3.62,2.32,3.0,3.6,2.3,2.77,3.49,2.63
E0,15/09/2024,Wolves,Newcastle,1,2,A,1,0,H,C Kavanagh,12,14,5,6,17,6,4,7,3,3,0,0,3.4,3.5,2.1,3.41,3.71,2.1,3.3,3.7,2.1,3.6,3.73,2.07
E0,11/08/2023,Burnley,Man City,0,3,A,0,2,A,C Pawson,6,17,1,8,11,8,6,5,0,0,1,0,8.0,5.5,1.33,8.58,5.51,1.37,8.0,5.0,1.25,9.62,5.81,1.33
E0,12/08/2023,Arsenal,Nott'm Forest,2,1,H,2,0,H,M Oliver,15,6,7,2,12,12,8,3,2,2,0,0,1.18,7.0,15.0,1.18,7.86,15.67,1.12,6.5,12.0,1.19,8.0,16.0
E0,12/08/2023,Bournemouth,West Ham,1,1,D,0,0,D,P Bankes,14,16,5,3,9,14,10,4,1,4,0,0,2.7,3.4,2.55,2.7,3.47,2.71,2.62,3.2,2.3,2.75,3.6,2.63
E0,12/08/2023,Brighton,Luton,4,1,H,1,0,H,D Coote,27,9,12,3,11,12,6,7,2,2,0,0,1.33,5.5,9.0,1.33,5.65,9.61,1.25,4.6,8.5,1.27,6.36,11.36
E0,12/08/2023,Everton,Fulham,0,1,A,0,0,D,S Attwell,19,9,9,2,12,6,10,4,0,2,0,0,2.2,3.4,3.3,2.27,3.45,3.35,2.1,3.2,3.0,2.39,3.32,3.3
E0,12/08/2023,Sheffield United,Crystal Palace,0,1,A,0,0,D,J Brooks,8,24,1,8,18,11,5,5,3,0,0,0,3.0,3.3,2.38,3.28,3.22,2.43,2.75,3.1,2.3,3.98,3.22,2.17
E0,12/08/2023,Newcastle,Aston Villa,5,1,H,2,1,H,A Madley,17,16,13,6,12,17,6,5,4,4,0,0,1.75,3.75,4.6,1.77,3.92,4.77,1.67,3.5,4.2,1.68,4.2,5.29
E0,13/08/2023,Brentford,Tottenham,2,2,D,2,2,D,R Jones,11,18,6,6,12,13,3,6,1,4,0,0,2.75,3.4,2.45,2.76,3.65,2.55,2.5,3.4,2.3,2.62,3.54,2.8
E0,13/08/2023,Chelsea,Liverpool,1,1,D,1,1,D,A Taylor,10,13,4,1,5,12,4,4,3,3,0,0,2.9,3.4,2.38,2.97,3.64,2.4,2.75,3.25,2.2,3.21,3.89,2.2
E0,14/08/2023,Man United,Wolves,1,0,H,0,0,D,S Hooper,15,23,3,6,14,10,8,7,2,3,0,0,1.33,5.5,9.0,1.32,5.79,9.66,1.22,4.8,9.0,1.27,6.3,12.25
E0,18/08/2023,Nott'm Forest,Sheffield United,2,1,H,1,0,H,P Bankes,16,7,4,3,5,9,6,7,2,3,0,0,1.95,3.4,4.0,1.97,3.48,4.37,1.8,3.2,3.9,1.94,3.51,4.48
E0,19/08/2023,Fulham,Brentford,0,3,A,0,1,A,D Bond,10,17,2,8,13,12,5,5,2,2,1,0,2.7,3.3,2.63,2.76,3.43,2.67,2.5,3.2,2.45,2.87,3.22,2.75
E0,19/08/2023,Liverpool,Bournemouth,3,1,H,2,1,H,T Bramall,26,13,10,5,11,13,10,2,1,3,1,0,1.2,7.0,13.0,1.23,7.14,11.46,1.17,6.0,10.0,1.2,8.25,13.0
E0,19/08/2023,Wolves,Brighton,1,4,A,0,1,A,A Madley,16,16,5,8,14,11,5,3,3,6,1,0,4.0,3.8,1.85,4.12,3.92,1.88,3.5,3.4,1.83,4.11,4.21,1.83
E0,19/08/2023,Tottenham,Man United,2,0,H,0,0,D,M Oliver,17,22,6,6,9,8,5,6,1,3,0,0,2.8,3.6,2.38,2.85,3.82,2.41,2.62,3.5,2.15,3.07,3.87,2.28
E0,19/08/2023,Man City,Newcastle,1,0,H,1,0,H,R Jones,14,7,4,1,12,11,3,0,1,5,0,0,1.67,4.0,5.0,1.73,4.1,4.8,1.57,3.7,4.6,1.87,3.84,4.37
E0,20/08/2023,Aston Villa,Everton,4,0,H,2,0,H,A Taylor,13,9,7,2,8,12,7,6,3,4,0,0,1.7,4.0,4.5,1.72,3.99,5.06,1.6,3.5,4.75,1.85,3.92,4.38
E0,20/08/2023,West Ham,Chelsea,3,1,H,1,1,D,J Brooks,12,17,6,4,12,9,3,9,2,3,1,0,3.75,3.5,2.0,3.68,3.57,2.1,3.6,3.3,1.85,3.25,3.65,2.27
E0,21/08/2023,Crystal Palace,Arsenal,0,1,A,0,0,D,D Coote,14,14,2,3,14,10,1,8,2,1,0,1,5.5,4.0,1.6,5.73,4.12,1.63,5.5,3.9,1.44,4.51,3.53,1.93
E0,25/08/2023,Chelsea,Luton,3,0,H,1,0,H,R Jones,19,11,8,1,15,12,6,4,2,3,0,0,1.29,5.5,11.0,1.3,6.08,10.68,1.2,5.5,9.0,1.27,6.25,12.5
E0,26/08/2023,Bournemouth,Tottenham,0,2,A,0,1,A,T Robinson,11,17,3,6,18,11,6,2,1,3,0,0,3.8,3.75,1.91,3.72,4.04,1.95,3.4,3.5,1.83,3.47,3.89,2.09
E0,26/08/2023,Arsenal,Fulham,2,2,D,0,1,A,P Tierney,19,8,11,3,6,5,8,3,0,3,0,1,1.2,7.0,13.0,1.24,6.07,15.25,1.15,6.0,11.0,1.29,6.29,10.32
E0,26/08/2023,Brentford,Crystal Palace,1,1,D,1,0,H,P Bankes,12,15,1,5,9,15,8,6,0,0,0,0,2.15,3.4,3.5,2.17,3.43,3.62,1.95,3.2,3.4,2.16,3.37,3.81
E0,26/08/2023,Everton,Wolves,0,1,A,0,0,D,C Pawson,15,11,7,2,10,14,7,0,3,4,0,0,2.3,3.3,3.2,2.34,3.32,3.34,2.2,3.0,3.0,2.45,3.38,3.14
E0,26/08/2023,Man United,Nott'm Forest,3,2,H,1,2,A,S Attwell,18,9,9,4,13,11,11,3,4,4,0,1,1.3,6.0,8.0,1.32,5.98,9.11,1.25,5.0,8.0,1.38,5.3,8.51
