Home,Result,Away,Wk,xG,Home_HW,Home_HPts/MP,Home_HPts,Home_HGD,Home_HL,Home_Gls,Home_+/-90,xG.1,Away_APts/MP,Away_AGD,Away_AL,Away_APts,Away_GA90,Away_AW,Away_L,Away_Pts,Away_PPM,Away_Pts/MP,Season
Manchester Utd,H,Fulham,1.0,2.4,1,1.5,3,-2,1,2,-1.0,0.4,0.5,-1,1,1,1.0,0,1,4,1.33,1.33,2024/2025
Ipswich Town,A,Liverpool,1.0,0.5,0,0.5,1,-2,1,2,-1.67,2.6,3.0,5,0,6,0.0,2,0,9,3.0,3.0,2024/2025
Newcastle Utd,H,Southampton,1.0,0.3,2,3.0,6,2,0,4,0.67,1.8,0.0,-3,2,0,1.67,0,3,0,0.0,0.0,2024/2025
Nott'ham Forest,D,Bournemouth,1.0,1.3,0,1.0,2,0,0,3,0.33,1.2,2.0,1,0,4,1.33,1,0,5,1.67,1.67,2024/2025
Everton,A,Brighton,1.0,0.5,0,0.0,0,-4,2,2,-2.67,1.4,2.0,3,0,4,0.67,1,0,7,2.33,2.33,2024/2025
Arsenal,H,Wolves,1.0,1.2,1,2.0,4,2,0,5,1.33,0.5,0.5,-2,1,1,3.0,0,2,1,0.33,0.33,2024/2025
West Ham,A,Aston Villa,1.0,2.3,0,0.0,0,-3,2,3,-0.33,2.0,3.0,2,0,6,1.33,2,1,6,2.0,2.0,2024/2025
Brentford,H,Crystal Palace,1.0,1.6,2,3.0,6,3,0,5,0.33,1.2,0.5,-1,1,1,1.67,0,2,1,0.33,0.33,2024/2025
Chelsea,A,Manchester City,1.0,1.0,0,0.5,1,-2,1,7,0.67,0.8,3.0,4,0,6,0.67,2,0,9,3.0,3.0,2024/2025
Leicester City,D,Tottenham,1.0,1.0,0,0.5,1,-1,1,3,-0.67,1.2,0.5,-1,1,1,1.0,0,1,4,1.33,1.33,2024/2025
Brighton,H,Manchester Utd,2.0,2.1,1,3.0,3,1,0,6,1.33,1.4,0.0,-1,1,0,1.67,0,2,3,1.0,1.0,2024/2025
Tottenham,H,Everton,2.0,2.4,1,3.0,3,4,0,5,1.0,1.0,0.0,-4,1,0,3.33,0,3,0,0.0,0.0,2024/2025
Fulham,H,Leicester City,2.0,1.8,1,3.0,3,1,0,3,0.0,0.6,0.0,-1,1,0,1.67,0,2,1,0.33,0.33,2024/2025
Crystal Palace,A,West Ham,2.0,1.3,0,0.0,0,-2,1,1,-1.0,1.4,3.0,2,0,3,1.67,1,2,3,1.0,1.0,2024/2025
Manchester City,H,Ipswich Town,2.0,3.3,1,3.0,3,3,0,9,2.33,0.3,0.0,-3,1,0,2.33,0,2,1,0.33,0.33,2024/2025
Southampton,A,Nott'ham Forest,2.0,0.1,0,0.0,0,-1,1,1,-1.33,2.2,3.0,1,0,3,0.67,1,0,5,1.67,1.67,2024/2025
Aston Villa,A,Arsenal,2.0,1.2,0,0.0,0,-2,1,4,0.0,0.9,3.0,2,0,3,0.33,1,0,7,2.33,2.33,2024/2025
Bournemouth,D,Newcastle Utd,2.0,2.2,0,1.0,1,0,0,5,0.33,1.6,1.0,0,0,1,0.67,0,0,7,2.33,2.33,2024/2025
Wolves,A,Chelsea,2.0,1.9,0,0.0,0,-4,1,3,-2.0,1.6,3.0,4,0,3,1.67,1,1,4,1.33,1.33,2024/2025
Liverpool,H,Brentford,2.0,2.5,1,3.0,3,2,0,7,2.33,0.5,0.0,-2,1,0,1.33,0,1,6,2.0,2.0,2024/2025
Arsenal,D,Brighton,3.0,2.1,1,2.0,4,2,0,5,1.33,1.7,2.0,3,0,4,0.67,1,0,7,2.33,2.33,2024/2025
Everton,A,Bournemouth,3.0,1.8,0,0.0,0,-4,2,2,-2.67,2.4,2.0,1,0,4,1.33,1,0,5,1.67,1.67,2024/2025
Leicester City,A,Aston Villa,3.0,0.4,0,0.5,1,-1,1,3,-0.67,1.4,3.0,2,0,6,1.33,2,1,6,2.0,2.0,2024/2025
Nott'ham Forest,D,Wolves,3.0,1.0,0,1.0,2,0,0,3,0.33,0.7,0.5,-2,1,1,3.0,0,2,1,0.33,0.33,2024/2025
Ipswich Town,D,Fulham,3.0,0.4,0,0.5,1,-2,1,2,-1.67,0.9,0.5,-1,1,1,1.0,0,1,4,1.33,1.33,2024/2025
Brentford,H,Southampton,3.0,2.8,2,3.0,6,3,0,5,0.33,1.5,0.0,-3,2,0,1.67,0,3,0,0.0,0.0,2024/2025
West Ham,A,Manchester City,3.0,0.7,0,0.0,0,-3,2,3,-0.33,3.0,3.0,4,0,6,0.67,2,0,9,3.0,3.0,2024/2025
Newcastle Utd,H,Tottenham,3.0,1.8,2,3.0,6,2,0,4,0.67,1.2,0.5,-1,1,1,1.0,0,1,4,1.33,1.33,2024/2025
Chelsea,D,Crystal Palace,3.0,2.4,0,0.5,1,-2,1,7,0.67,0.5,0.5,-1,1,1,1.67,0,2,1,0.33,0.33,2024/2025
Manchester Utd,A,Liverpool,3.0,1.4,1,1.5,3,-2,1,2,-1.0,1.8,3.0,5,0,6,0.0,2,0,9,3.0,3.0,2024/2025
