Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,29,38.0,48,545,185,33.9,14.34,4.87,0.08,0.22,18.2,19,7,8,55.3,48.9,0.09,-7.3,-7.9
vs Aston Villa,28,38.0,66,602,176,29.2,15.84,4.63,0.1,0.35,16.8,21,5,6,67.8,63.0,0.11,-1.8,-2.0
vs Bournemouth,27,38.0,65,552,186,33.7,14.53,4.89,0.11,0.32,17.9,16,5,6,62.3,57.6,0.11,2.7,2.4
vs Brighton,25,38.0,52,496,166,33.5,13.05,4.37,0.1,0.3,16.3,20,2,2,55.0,53.4,0.11,-3.0,-3.4
vs Burnley,22,38.0,49,534,162,30.3,14.05,4.26,0.08,0.28,18.3,22,4,5,49.8,45.8,0.09,-0.8,-0.8
vs Chelsea,27,38.0,51,320,113,35.3,8.42,2.97,0.15,0.43,16.5,15,2,2,38.6,37.0,0.12,12.4,12.0
vs Crystal Palace,25,38.0,48,511,172,33.7,13.45,4.53,0.09,0.28,17.1,25,0,1,57.0,56.2,0.11,-9.0,-8.2
vs Everton,24,38.0,53,423,144,34.0,11.13,3.79,0.12,0.35,17.1,23,3,4,48.3,45.2,0.11,4.7,4.8
vs Leicester City,24,38.0,39,368,125,34.0,9.68,3.29,0.08,0.25,17.5,21,8,10,45.5,37.7,0.1,-6.5,-6.7
vs Liverpool,24,38.0,32,340,106,31.2,8.95,2.79,0.09,0.29,17.2,5,1,1,37.7,36.9,0.11,-5.7,-5.9
vs Manchester City,24,38.0,34,277,107,38.6,7.29,2.82,0.11,0.29,16.6,18,3,3,36.2,34.6,0.13,-2.2,-3.6
vs Manchester Utd,29,38.0,35,387,128,33.1,10.18,3.37,0.08,0.25,17.8,23,3,3,37.7,35.3,0.09,-2.7,-3.3
vs Newcastle Utd,28,38.0,56,564,193,34.2,14.84,5.08,0.1,0.28,16.5,20,2,2,65.6,64.0,0.12,-9.6,-10.0
vs Norwich City,30,38.0,72,600,203,33.8,15.79,5.34,0.11,0.33,16.6,19,4,7,66.5,60.9,0.1,5.5,7.1
vs Sheffield Utd,26,38.0,39,428,137,32.0,11.26,3.61,0.09,0.28,17.6,24,1,3,51.0,48.6,0.12,-12.0,-10.6
vs Southampton,25,38.0,59,448,164,36.6,11.79,4.32,0.13,0.34,16.6,13,3,4,52.8,49.6,0.11,6.2,6.4
vs Tottenham,29,38.0,45,532,174,32.7,14.0,4.58,0.08,0.23,17.5,23,5,7,54.2,49.1,0.09,-9.2,-9.1
vs Watford,26,38.0,61,487,169,34.7,12.82,4.45,0.11,0.31,17.9,28,8,9,58.1,51.2,0.11,2.9,1.8
vs West Ham,29,38.0,59,495,181,36.6,13.03,4.76,0.11,0.3,16.4,13,5,6,63.8,59.1,0.12,-4.8,-5.1
vs Wolves,21,38.0,39,396,126,31.8,10.42,3.32,0.1,0.3,17.3,12,1,3,38.0,35.5,0.09,1.0,2.5
