Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,29,38.0,13968,17668,79.1,245849,89696,6592,7433,88.7,5474,6451,84.9,1506,2727,55.2,30,39.1,33.2,-9.1,415,1087,300,85,1369
vs Aston Villa,28,38.0,16142,20266,79.7,279743,100721,7760,8725,88.9,6185,7276,85.0,1661,2984,55.7,44,46.6,39.9,-2.6,458,1350,383,74,1823
vs Bournemouth,27,38.0,16667,21185,78.7,294977,98427,7405,8464,87.5,7039,8266,85.2,1705,3186,53.5,45,42.6,36.9,2.4,415,1241,366,86,1670
vs Brighton,25,38.0,14322,18458,77.6,247084,86934,6790,7740,87.7,5484,6563,83.6,1527,2904,52.6,42,43.1,32.0,-1.1,376,992,297,63,1342
vs Burnley,22,38.0,15824,20627,76.7,268946,94434,7570,8683,87.2,6129,7430,82.5,1544,3175,48.6,38,36.6,31.9,1.4,403,1105,352,86,1544
vs Chelsea,27,38.0,12445,16600,75.0,218822,82681,5803,6816,85.1,4884,5932,82.3,1342,2751,48.8,36,27.4,23.9,8.6,241,847,216,55,1151
vs Crystal Palace,25,38.0,16178,20387,79.4,283124,96926,7477,8506,87.9,6428,7601,84.6,1703,2988,57.0,36,40.0,36.7,-4.0,380,1280,328,81,1690
vs Everton,24,38.0,14366,18648,77.0,255446,94202,6485,7476,86.7,5830,6928,84.2,1560,3010,51.8,39,34.2,29.6,4.8,317,1045,274,69,1405
vs Leicester City,24,38.0,12319,16545,74.5,215679,83904,5972,6985,85.5,4442,5529,80.3,1439,2821,51.0,26,29.2,27.5,-3.2,290,909,254,71,1214
vs Liverpool,24,38.0,10923,15242,71.7,191418,77636,5234,6146,85.2,4041,5171,78.1,1253,2832,44.2,23,29.6,22.2,-6.6,254,667,195,60,949
vs Manchester City,24,38.0,10925,14396,75.9,193906,72013,5103,5826,87.6,4277,5020,85.2,1215,2603,46.7,25,23.1,19.5,1.9,199,662,168,40,801
vs Manchester Utd,29,38.0,13147,17274,76.1,227370,83853,6180,7080,87.3,5020,6073,82.7,1402,2837,49.4,24,25.2,22.4,-1.2,275,912,209,56,1204
vs Newcastle Utd,28,38.0,19474,23531,82.8,339292,109168,8883,9936,89.4,8230,9358,87.9,1849,3083,60.0,38,50.4,47.6,-12.4,444,1593,362,77,1882
vs Norwich City,30,38.0,15431,19565,78.9,273323,96267,6951,7961,87.3,6154,7294,84.4,1749,3018,58.0,50,46.6,42.9,3.4,449,1322,424,103,1793
vs Sheffield Utd,26,38.0,17999,22602,79.6,316412,102270,8160,9268,88.0,7419,8694,85.3,1854,3409,54.4,28,38.1,31.4,-10.1,326,1150,258,60,1420
vs Southampton,25,38.0,13419,18481,72.6,242017,92050,5891,7104,82.9,5607,7101,79.0,1529,3057,50.0,41,38.7,31.2,2.3,333,1041,301,79,1453
vs Tottenham,29,38.0,14672,18848,77.8,258025,92485,6771,7728,87.6,5788,6945,83.3,1621,2954,54.9,27,34.0,32.2,-7.0,392,1153,298,85,1554
vs Watford,26,38.0,17002,21471,79.2,292652,98057,7916,9018,87.8,6938,8154,85.1,1603,3020,53.1,37,39.4,32.3,-2.4,354,1253,287,66,1654
vs West Ham,29,38.0,17330,21591,80.3,296808,102799,8104,9093,89.1,7074,8231,85.9,1603,2924,54.8,49,48.7,41.1,0.3,388,1332,376,96,1724
vs Wolves,21,38.0,15811,19951,79.2,267919,93028,7591,8577,88.5,6174,7252,85.1,1485,2879,51.6,28,26.1,22.8,1.9,289,1098,255,68,1411
