Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,29,26.6,38,3420,90,100,38.0,418,83,,110,20,176,1.16,48,56,-8,-0.21,55.3,47.0,8.3,0.22
vs Aston Villa,28,26.6,38,3420,90,100,38.0,418,84,,118,19,168,1.87,67,41,26,0.68,67.8,44.3,23.5,0.62
vs Bournemouth,27,26.8,38,3420,90,100,38.0,418,84,,117,21,167,1.92,65,40,25,0.66,62.3,44.8,17.5,0.46
vs Brighton,25,26.5,38,3420,90,100,38.0,418,84,,115,21,169,1.55,54,39,15,0.39,55.0,45.4,9.5,0.25
vs Burnley,22,26.5,38,3420,90,100,38.0,418,86,,110,21,173,1.34,50,43,7,0.18,49.8,47.4,2.4,0.06
vs Chelsea,27,26.4,38,3420,90,100,38.0,418,84,,115,21,169,1.11,54,69,-15,-0.39,38.6,69.2,-30.6,-0.81
vs Crystal Palace,25,26.5,38,3420,90,100,38.0,418,85,,111,20,170,1.61,50,31,19,0.5,57.0,35.8,21.2,0.56
vs Everton,24,26.6,38,3420,90,100,38.0,418,83,,111,19,173,1.45,56,44,12,0.32,48.3,50.8,-2.5,-0.07
vs Leicester City,24,26.6,38,3420,90,100,38.0,418,84,,116,20,168,1.16,41,67,-26,-0.68,45.5,62.2,-16.7,-0.44
vs Liverpool,24,26.3,38,3420,90,100,38.0,418,85,,109,22,174,0.32,33,85,-52,-1.37,37.7,68.9,-31.2,-0.82
vs Manchester City,24,26.5,38,3420,90,100,38.0,418,83,,119,20,164,0.79,35,102,-67,-1.76,36.2,92.0,-55.7,-1.47
vs Manchester Utd,29,26.7,38,3420,90,100,38.0,418,85,,113,22,171,0.95,36,66,-30,-0.79,37.7,62.2,-24.5,-0.64
vs Newcastle Utd,28,26.5,38,3420,90,100,38.0,418,84,,108,18,176,1.55,58,38,20,0.53,65.6,35.5,30.1,0.79
vs Norwich City,30,26.5,38,3420,90,100,38.0,418,85,,119,19,164,2.29,75,26,49,1.29,66.5,37.0,29.5,0.78
vs Sheffield Utd,26,26.7,38,3420,90,100,38.0,418,84,,110,18,175,1.26,39,39,0,0.0,51.0,43.0,7.9,0.21
vs Southampton,25,26.5,38,3420,90,100,38.0,418,85,,113,21,170,1.45,60,51,9,0.24,52.8,56.1,-3.3,-0.09
vs Tottenham,29,26.7,38,3420,90,100,38.0,418,85,,106,17,175,1.16,47,61,-14,-0.37,54.2,47.9,6.3,0.17
vs Watford,26,26.5,38,3420,90,100,38.0,418,84,,105,21,179,1.84,64,36,28,0.74,58.1,48.9,9.3,0.24
vs West Ham,29,26.6,38,3420,90,100,38.0,418,85,,113,19,171,1.74,62,49,13,0.34,63.8,48.6,15.2,0.4
vs Wolves,21,26.5,38,3420,90,100,38.0,418,86,,116,22,167,1.08,40,51,-11,-0.29,38.0,54.1,-16.1,-0.42
