Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
vs Arsenal,29,26.6,46.3,38,418,3420,38.0,48,30,78,41,7,8,79,1,55.3,48.9,39.1,88.1,759,1369,1.26,0.79,2.05,1.08,1.87,1.46,1.03,2.48,1.29,2.32
vs Aston Villa,28,26.6,55.9,38,418,3420,38.0,66,44,110,61,5,6,90,7,67.8,63.0,46.6,109.6,838,1823,1.74,1.16,2.89,1.61,2.76,1.78,1.23,3.01,1.66,2.88
vs Bournemouth,27,26.8,55.9,38,418,3420,38.0,65,45,110,60,5,6,67,3,62.3,57.6,42.6,100.2,743,1670,1.71,1.18,2.89,1.58,2.76,1.64,1.12,2.76,1.52,2.64
vs Brighton,25,26.5,47.8,38,418,3420,38.0,52,42,94,50,2,2,61,1,55.0,53.4,43.1,96.5,773,1342,1.37,1.11,2.47,1.32,2.42,1.45,1.13,2.58,1.4,2.54
vs Burnley,22,26.5,58.1,38,418,3420,38.0,49,38,87,45,4,5,42,3,49.8,45.8,36.6,82.4,857,1544,1.29,1.0,2.29,1.18,2.18,1.31,0.96,2.27,1.21,2.17
vs Chelsea,27,26.4,39.6,38,418,3420,38.0,51,36,87,49,2,2,76,3,38.6,37.0,27.4,64.4,464,1151,1.34,0.95,2.29,1.29,2.24,1.01,0.72,1.74,0.97,1.69
vs Crystal Palace,25,26.5,55.2,38,418,3420,38.0,48,36,84,48,0,1,88,5,57.0,56.2,40.0,96.2,769,1690,1.26,0.95,2.21,1.26,2.21,1.5,1.05,2.55,1.48,2.53
vs Everton,24,26.6,51.0,38,418,3420,38.0,53,39,92,50,3,4,61,2,48.3,45.2,34.2,79.4,675,1405,1.39,1.03,2.42,1.32,2.34,1.27,0.9,2.17,1.19,2.09
vs Leicester City,24,26.6,43.0,38,418,3420,38.0,39,26,65,31,8,10,69,3,45.5,37.7,29.2,66.9,653,1214,1.03,0.68,1.71,0.82,1.5,1.2,0.77,1.97,0.99,1.76
vs Liverpool,24,26.3,37.1,38,418,3420,38.0,32,23,55,31,1,1,47,0,37.7,36.9,29.6,66.5,514,949,0.84,0.61,1.45,0.82,1.42,0.99,0.78,1.77,0.97,1.75
vs Manchester City,24,26.5,33.8,38,418,3420,38.0,34,25,59,31,3,3,53,1,36.2,34.6,23.1,57.8,448,801,0.89,0.66,1.55,0.82,1.47,0.95,0.61,1.56,0.91,1.52
vs Manchester Utd,29,26.7,44.2,38,418,3420,38.0,35,24,59,32,3,3,79,2,37.7,35.3,25.2,60.5,648,1204,0.92,0.63,1.55,0.84,1.47,0.99,0.66,1.65,0.93,1.59
vs Newcastle Utd,28,26.5,61.0,38,418,3420,38.0,56,38,94,54,2,2,57,2,65.6,64.0,50.4,114.4,808,1882,1.47,1.0,2.47,1.42,2.42,1.73,1.33,3.05,1.69,3.01
vs Norwich City,30,26.5,50.7,38,418,3420,38.0,72,50,122,68,4,7,58,2,66.5,60.9,46.6,107.6,846,1793,1.89,1.32,3.21,1.79,3.11,1.75,1.23,2.98,1.6,2.83
vs Sheffield Utd,26,26.7,56.9,38,418,3420,38.0,39,28,67,38,1,3,46,0,51.0,48.6,38.1,86.7,840,1420,1.03,0.74,1.76,1.0,1.74,1.34,1.0,2.34,1.28,2.28
vs Southampton,25,26.5,51.1,38,418,3420,38.0,59,41,100,56,3,4,67,3,52.8,49.6,38.7,88.4,644,1453,1.55,1.08,2.63,1.47,2.55,1.39,1.02,2.41,1.31,2.33
vs Tottenham,29,26.7,48.0,38,418,3420,38.0,45,27,72,40,5,7,83,1,54.2,49.1,34.0,83.1,715,1554,1.18,0.71,1.89,1.05,1.76,1.43,0.9,2.32,1.29,2.19
vs Watford,26,26.5,57.1,38,418,3420,38.0,61,37,98,53,8,9,66,1,58.1,51.2,39.4,90.6,844,1654,1.61,0.97,2.58,1.39,2.37,1.53,1.04,2.57,1.35,2.38
vs West Ham,29,26.6,55.9,38,418,3420,38.0,59,49,108,54,5,6,45,0,63.8,59.1,48.7,107.8,855,1724,1.55,1.29,2.84,1.42,2.71,1.68,1.28,2.96,1.55,2.84
vs Wolves,21,26.5,51.7,38,418,3420,38.0,39,28,67,38,1,3,85,5,38.0,35.5,26.1,61.6,702,1411,1.03,0.74,1.76,1.0,1.74,1.0,0.69,1.69,0.94,1.62
