Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
vs Arsenal,2,38,38,3420,38.0,56,1.47,149,93,64.4,10,14,14,7,18.4,3,3,0,0,0.0
vs Aston Villa,4,38,38,3420,38.0,41,1.08,149,108,73.2,21,8,9,11,28.9,3,1,1,1,50.0
vs Bournemouth,2,38,38,3420,38.0,40,1.05,121,83,70.2,22,7,9,15,39.5,4,4,0,0,0.0
vs Brighton,1,38,38,3418,38.0,39,1.03,141,105,73.0,15,14,9,13,34.2,2,1,1,0,50.0
vs Burnley,1,38,38,3420,38.0,43,1.13,127,86,68.5,14,9,15,10,26.3,3,3,0,0,0.0
vs Chelsea,2,38,38,3420,38.0,69,1.82,217,148,71.4,12,6,20,7,18.4,7,7,0,0,0.0
vs Crystal Palace,2,38,38,3420,38.0,31,0.82,118,89,76.3,17,10,11,16,42.1,3,3,0,0,0.0
vs Everton,1,38,38,3420,38.0,44,1.16,160,118,73.1,15,10,13,10,26.3,1,1,0,0,0.0
vs Leicester City,1,38,38,3420,38.0,67,1.76,190,123,67.4,12,8,18,9,23.7,7,5,2,0,28.6
vs Liverpool,2,38,38,3420,38.0,85,2.24,229,146,65.1,3,3,32,3,7.9,5,5,0,0,0.0
vs Manchester City,2,38,38,3420,38.0,102,2.68,261,156,63.2,9,3,26,4,10.5,11,6,5,0,45.5
vs Manchester Utd,1,38,38,3420,38.0,66,1.74,214,146,73.8,8,12,18,8,21.1,14,10,3,1,23.1
vs Newcastle Utd,1,38,38,3420,38.0,38,1.0,133,94,71.4,16,11,11,13,34.2,1,0,1,0,100.0
vs Norwich City,3,38,38,3420,38.0,26,0.68,128,103,81.3,27,6,5,20,52.6,2,2,0,0,0.0
vs Sheffield Utd,2,38,38,3420,38.0,39,1.03,110,74,65.5,12,12,14,12,31.6,1,1,0,0,0.0
vs Southampton,2,38,38,3420,38.0,51,1.34,175,122,72.0,16,7,15,6,15.8,5,2,2,1,50.0
vs Tottenham,2,38,38,3420,38.0,61,1.61,158,101,63.3,11,11,16,7,18.4,4,3,1,0,25.0
vs Watford,1,38,38,3420,38.0,36,0.95,120,84,75.8,20,10,8,16,42.1,8,7,1,0,12.5
vs West Ham,4,38,38,3420,38.0,49,1.29,160,111,71.9,19,9,10,12,31.6,4,4,0,0,0.0
vs Wolves,1,38,38,3418,38.0,51,1.34,146,97,67.8,9,14,15,8,21.1,4,4,0,0,0.0
