Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,2,38.0,56,3,1,9,0,52.8,0.35,-3.2,-0.08,242,539,44.9,840,146,46.1,36.7,261,58.2,44.6,524,16,3.1,35,0.92,16.3
vs Aston Villa,4,38.0,41,1,1,8,1,37.3,0.24,-2.7,-0.07,240,577,41.6,903,181,45.4,36.9,274,60.9,45.0,654,31,4.7,23,0.61,11.9
vs Bournemouth,2,38.0,40,4,3,7,2,40.7,0.31,2.7,0.07,214,624,34.3,918,136,47.6,38.3,250,74.8,52.4,497,40,8.0,35,0.92,13.7
vs Brighton,1,38.0,39,1,2,5,4,39.5,0.27,4.5,0.12,171,551,31.0,893,172,39.9,35.8,310,62.9,47.6,537,22,4.1,37,0.97,14.3
vs Burnley,1,38.0,43,3,0,7,2,38.3,0.28,-2.7,-0.07,191,660,28.9,1075,201,43.6,36.5,276,69.2,49.3,571,23,4.0,47,1.24,14.1
vs Chelsea,2,38.0,69,7,2,7,0,67.4,0.29,-1.6,-0.04,222,639,34.7,922,147,46.2,37.6,316,67.4,48.2,656,24,3.7,18,0.47,11.7
vs Crystal Palace,2,38.0,31,3,2,2,2,29.3,0.22,0.3,0.01,189,466,40.6,775,160,41.2,35.1,252,58.3,45.5,461,20,4.3,27,0.71,13.8
vs Everton,1,38.0,44,1,0,8,2,46.1,0.29,4.1,0.11,206,573,36.0,934,172,41.0,35.8,285,66.7,49.5,607,21,3.5,36,0.95,14.2
vs Leicester City,1,38.0,67,5,1,5,2,62.4,0.29,-2.6,-0.07,215,587,36.6,800,157,49.1,39.2,294,66.0,47.9,578,17,2.9,37,0.97,14.6
vs Liverpool,2,38.0,85,5,2,11,2,74.6,0.31,-8.4,-0.22,234,782,29.9,944,173,54.6,40.6,351,76.1,53.2,705,25,3.5,41,1.08,14.7
vs Manchester City,2,38.0,102,6,5,8,2,88.2,0.3,-11.8,-0.31,254,742,34.2,992,160,51.1,39.4,380,61.8,46.9,645,25,3.9,15,0.39,10.4
vs Manchester Utd,1,38.0,66,10,1,5,1,62.7,0.24,-2.3,-0.06,222,688,32.3,914,124,51.4,39.1,310,70.3,51.2,487,10,2.1,27,0.71,15.0
vs Newcastle Utd,1,38.0,38,0,1,6,0,41.5,0.31,3.5,0.09,142,384,37.0,848,215,31.6,32.3,212,54.7,43.0,454,36,7.9,32,0.84,14.3
vs Norwich City,3,38.0,26,2,0,3,1,30.3,0.23,5.3,0.14,223,520,42.9,837,148,41.7,36.4,238,71.8,50.7,372,10,2.7,45,1.18,19.1
vs Sheffield Utd,2,38.0,39,1,0,5,3,38.1,0.34,2.1,0.05,158,520,30.4,1051,207,35.4,35.3,297,49.8,42.4,643,22,3.4,37,0.97,13.9
vs Southampton,2,38.0,51,2,2,5,0,49.3,0.26,-1.7,-0.04,209,614,34.0,1009,180,43.0,36.7,291,61.9,46.7,548,18,3.3,49,1.29,17.8
vs Tottenham,2,38.0,61,3,1,6,5,50.4,0.3,-5.6,-0.15,210,578,36.3,915,168,46.6,37.9,247,61.5,47.2,504,16,3.2,44,1.16,16.9
vs Watford,1,38.0,36,7,0,1,1,38.7,0.26,3.7,0.1,142,459,30.9,889,187,35.1,33.8,274,53.6,44.2,544,18,3.3,36,0.95,14.7
vs West Ham,4,38.0,49,4,1,10,0,47.8,0.29,-1.2,-0.03,163,441,37.0,863,169,36.3,33.7,253,50.6,41.4,563,33,5.9,25,0.66,12.4
vs Wolves,1,38.0,51,4,1,5,2,49.6,0.32,0.6,0.02,192,528,36.4,863,165,40.9,35.8,265,66.0,49.0,534,22,4.1,37,0.97,15.3
