Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Arsenal,2,26.9,46.8,38,38,3420,38,47,33,80,42,5,8,69,3,45.7,40.9,33.3,74.2,556,1191,1.24,0.87,2.11,1.11,1.97,1.2,0.88,2.08,1.08,1.95,164,142,33.9,11.03,3.74,0.1,0.3,17.6,1,0.1,1.3,1.1,214,563,38,62771,30462,6562,284,88.5,5816,6793,85.6,1365,2710,50.4,27.7,-0.3,316,468,255,71,21949,1703,49,102,606,744,13,90,50,3,64,427,762,20.05,577,59,35,346,14,78,2.05,57,3,5,5,7,1,608,339,7787,9302,5062,271,45.9,463,263,364,972,737,18,21955,2653,720,256,51.2,244,48.8,12516,140,550,296,14105,1182,90,100,85,309,107,21,235,1.11,48,61,-13,-0.34,45.7,60.5,-14.9,-0.39,2,375,5,8,1,1817,572,55.3,61,1.61,194,131,71.1,13,3,22,11,28.9,5,3,0,37.5,52.4,0.24,-7.6,-0.2,1098,164,35.7,33.5,60.2,44.8,498,25,5,55,1.45,16.5,2021/2022
vs Aston Villa,3,26.7,53.5,38,38,3420,38,52,35,87,48,4,3,83,1,49,44.1,33.7,77.8,741,1514,1.37,0.92,2.29,1.26,2.18,1.29,0.89,2.18,1.16,2.05,127,144,30.6,12.39,3.79,0.1,0.33,17.4,0,0.1,3,3.9,157,412,38.1,69297,36612,6575,263,88.1,6449,7500,86,1718,2960,58,30.1,1.3,348,475,276,61,23090,1811,48,233,685,815,7,118,64,3,39,356,827,21.76,576,75,59,392,19,91,2.39,63,3,6,10,8,1,598,343,7680,10237,5398,254,43.3,538,229,339,937,743,6,23096,2362,852,349,53.8,300,46.2,12899,222,542,334,15104,1499,90,100,85,311,108,20,232,1.66,54,52,2,0.05,49,44,4.9,0.13,0,512,5,3,2,1922,561,51,52,1.37,162,112,69.8,19,6,13,8,21.1,3,0,0,0,45,0.27,-5,-0.13,886,182,31.8,32.7,49.4,40.5,530,21,4,41,1.08,14.4,2021/2022
vs Brentford,3,26.8,55.5,38,38,3420,38,54,41,95,49,5,6,50,3,48.5,44.6,34.7,79.3,734,1523,1.42,1.08,2.5,1.29,2.37,1.28,0.91,2.19,1.17,2.09,132,174,34.9,13.11,4.58,0.1,0.28,18.2,0,0.09,5.5,4.4,182,547,33.3,69503,34218,7861,244,87.6,5946,7075,84,1434,2945,48.7,32.3,6.3,359,609,339,101,24457,1738,73,104,812,774,6,128,69,2,71,423,876,23.05,659,65,35,357,11,97,2.55,73,6,2,8,7,1,505,285,6892,11000,6765,214,45,717,291,381,886,830,12,24462,2251,838,325,52.8,291,47.2,13970,164,618,316,15638,1517,90,100,84,326,90,19,250,1.61,56,48,8,0.21,48.5,45.8,2.7,0.07,0,377,5,6,2,2204,728,50.4,48,1.26,147,101,71.4,18,7,13,12,31.6,6,0,0,0,43.8,0.26,-2.2,-0.06,884,147,45.1,38.2,60.7,45.8,509,34,6.7,56,1.47,15.7,2021/2022
vs Brighton,2,26.9,45.3,38,38,3420,38,44,34,78,41,3,7,80,0,42.9,39.8,30,69.9,642,1263,1.16,0.89,2.05,1.08,1.97,1.13,0.79,1.92,1.05,1.84,140,143,30.3,12.42,3.76,0.09,0.29,18.6,0,0.09,1.1,1.2,153,483,31.7,61934,31945,6148,285,86.4,5425,6514,83.3,1321,2648,49.9,25.7,4,342,446,255,58,21574,1733,36,113,680,740,6,106,55,6,42,481,824,21.68,612,58,49,373,13,77,2.03,49,11,4,7,4,2,591,358,7672,8761,5358,242,43.3,569,341,389,980,752,8,21578,2394,830,320,56.7,243,43.1,11610,197,581,425,13173,1250,90,100,84,311,108,20,231,1.26,44,42,2,0.05,42.9,46.2,-3.3,-0.09,0,373,3,7,2,2094,498,46.7,42,1.11,146,105,74,11,15,12,13,34.2,4,1,2,20,39.5,0.24,-0.5,-0.01,888,202,37.3,34.3,53.3,41.3,564,21,3.7,43,1.13,15.4,2021/2022
vs Burnley,2,26.7,60.2,38,38,3420,38,51,36,87,46,5,2,44,0,57.1,53.2,40.7,93.9,865,1711,1.34,0.95,2.29,1.21,2.16,1.5,1.07,2.57,1.4,2.47,104,173,28.9,15.74,4.55,0.08,0.27,17.7,1,0.09,-6.1,-7.2,191,587,32.5,77595,41281,8023,269,87.3,6678,7936,84.1,1592,3140,50.7,35.7,-4.7,459,582,407,83,25633,1925,44,168,861,846,6,95,79,5,54,369,1064,28,804,77,50,381,13,92,2.42,75,1,2,8,6,0,512,306,8341,10906,6613,221,46.1,827,265,280,792,853,9,25638,2435,1094,284,53.2,250,46.8,14368,253,571,340,16680,1694,90,100,86,322,96,18,245,1.71,53,34,19,0.5,57.1,39.7,17.4,0.46,0,339,3,2,2,2068,733,47,34,0.89,120,88,72.5,17,14,7,16,42.1,1,0,1,0,32.1,0.26,0.1,0,1094,196,39.4,35.2,58,43.3,590,47,8,51,1.34,13.8,2021/2022
vs Chelsea,2,26.7,37.7,38,38,3420,38,32,20,52,26,6,9,69,4,33.2,28.9,21.7,50.6,495,1004,0.84,0.53,1.37,0.68,1.21,0.87,0.57,1.45,0.76,1.33,169,109,32.5,8.82,2.87,0.08,0.24,18.1,1,0.09,-1.2,-2.9,206,576,35.8,54161,25855,5484,293,86.6,4597,5508,83.5,1187,2493,47.6,21,-1.7,232,367,209,60,19618,1706,63,90,533,697,8,66,52,4,67,487,587,15.45,407,52,43,389,12,53,1.39,34,4,4,3,5,3,643,356,7393,7923,4499,260,41.7,538,318,376,1019,793,12,19624,2723,614,310,54.7,257,45.3,10135,130,592,364,11579,993,90,100,84,305,109,20,230,0.76,33,76,-43,-1.13,33.2,63.4,-30.1,-0.79,1,406,4,9,1,1921,486,47.5,76,2,209,133,67.5,6,11,21,4,10.5,8,1,0,11.1,65.3,0.28,-9.7,-0.25,989,180,41.8,36.1,55.6,43,604,34,5.6,34,0.89,13.2,2021/2022
vs Crystal Palace,2,26.8,49.1,38,38,3420,38,44,30,74,41,3,8,74,3,40.7,37.6,28.3,65.9,563,1402,1.16,0.79,1.95,1.08,1.87,1.07,0.74,1.82,0.99,1.73,110,140,31.9,11.55,3.68,0.09,0.29,17.9,1,0.09,3.3,3.4,201,511,39.3,62876,31764,6523,241,86.3,5776,6884,83.9,1503,2862,52.5,29.8,1.7,304,428,287,74,22790,1790,42,130,664,825,2,74,96,0,53,386,759,19.97,535,77,32,391,10,74,1.95,47,11,3,7,4,2,776,440,7021,10187,5794,305,44.4,610,276,378,1154,712,16,22794,2209,794,302,52.5,273,47.5,12186,135,652,364,14161,1394,90,100,85,310,106,21,235,1.34,46,50,-4,-0.11,40.7,46.4,-5.7,-0.15,2,499,2,8,0,2109,618,50.3,50,1.32,147,96,70.1,12,15,11,11,28.9,6,1,1,14.3,43,0.25,-7,-0.18,919,141,42.8,35.5,49,40.8,505,31,6.1,36,0.95,13.2,2021/2022
vs Everton,2,26.8,60.3,38,38,3420,38,61,46,107,59,2,7,72,0,55.4,53.9,41.8,95.8,735,1799,1.61,1.21,2.82,1.55,2.76,1.46,1.1,2.56,1.42,2.52,146,186,35.8,13.68,4.89,0.11,0.32,17.7,0,0.11,5.6,5.1,141,399,35.3,76711,41763,8044,281,87.8,7922,9036,87.7,1610,2872,56.1,36.2,4.2,372,574,329,74,26577,1837,44,129,719,859,6,114,62,8,43,443,922,24.26,650,84,64,345,9,104,2.74,65,14,6,11,6,2,620,336,7934,12214,6624,295,46.7,634,297,333,953,653,6,26579,2286,880,399,54.3,336,45.7,14994,160,664,369,17894,1782,90,100,85,308,111,19,230,1.82,66,43,23,0.61,55.4,41.2,14.2,0.37,0,400,1,7,1,2049,725,53.3,43,1.13,136,94,72.8,21,6,11,12,31.6,6,0,1,0,39.4,0.25,-2.6,-0.07,939,206,29.3,31.5,44.1,40,486,34,7,37,0.97,14.9,2021/2022
vs Leeds United,2,26.9,47.5,38,38,3420,38,78,59,137,73,5,5,74,3,67.8,64,48.5,112.4,700,1359,2.05,1.55,3.61,1.92,3.47,1.79,1.28,3.06,1.68,2.96,138,219,38,15.16,5.76,0.13,0.33,17.3,1,0.11,10.2,9,206,550,37.5,65965,34372,5810,309,85.4,5455,6544,83.4,1383,2657,52.1,38,10.5,436,480,309,58,21605,1897,100,92,568,829,8,86,79,3,53,459,1005,26.45,711,87,80,465,16,134,3.53,97,9,9,9,9,1,614,351,7145,9288,5440,316,48.2,470,321,398,1012,735,20,21610,2367,949,478,54,408,46,11522,208,675,379,12886,1339,90,100,82,302,114,17,228,1.71,79,42,37,0.97,67.8,44.4,23.5,0.62,3,386,4,5,0,2228,626,57.1,42,1.11,147,105,74.8,18,11,9,13,34.2,5,0,0,0,41.2,0.25,-0.8,-0.02,1029,196,34.4,33.2,63.4,46.3,481,26,5.4,51,1.34,15.4,2021/2022
vs Leicester City,2,26.8,47.9,38,38,3420,38,58,36,94,51,7,2,60,0,59.3,52.6,39.8,92.4,732,1496,1.53,0.95,2.47,1.34,2.29,1.56,1.05,2.61,1.38,2.43,117,183,32.9,14.63,4.82,0.09,0.28,16.4,1,0.1,-1.3,-1.6,174,490,35.5,70989,36278,6675,236,87.4,6259,7300,85.7,1512,2798,54,38.1,-3.8,415,510,342,77,23085,1733,63,150,738,788,4,129,63,2,73,455,970,25.53,669,98,59,350,20,97,2.55,55,9,6,16,9,2,618,370,7065,10268,6018,250,45.7,530,338,400,1018,630,13,23094,2218,1025,414,57.5,306,42.5,13115,208,598,384,14699,1481,90,100,84,310,108,21,233,1.37,59,62,-3,-0.08,59.3,47.8,11.5,0.3,0,406,7,2,0,2104,553,51.1,62,1.63,166,104,63.9,14,10,14,6,15.8,2,0,0,0,54,0.33,-8,-0.21,961,169,37.9,34.5,53.4,41.5,433,28,6.5,37,0.97,15.4,2021/2022
