Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Kevin De Bruyne,be BEL,AM,Manchester City,33,"£ 400,000 (€ 466,861, $509,290)","£ 20,800,000 (€ 24,276,772, $26,483,090)",
2,Erling Haaland,no NOR,CF,Manchester City,23,"£ 375,000 (€ 437,682, $477,460)","£ 19,500,000 (€ 22,759,474, $24,827,897)",
3,Casemiro,br BRA,DM,Manchester Utd,32,"£ 350,000 (€ 408,503, $445,629)","£ 18,200,000 (€ 21,242,176, $23,172,704)",
4,Mohamed Salah,eg EGY,RW,Liverpool,32,"£ 350,000 (€ 408,503, $445,629)","£ 18,200,000 (€ 21,242,176, $23,172,704)",
5,Raheem Sterling,eng ENG,LW,Chelsea,29,"£ 325,000 (€ 379,325, $413,798)","£ 16,900,000 (€ 19,724,877, $21,517,511)",
6,Romelu Lukaku,be BEL,CF,Chelsea,31,"£ 325,000 (€ 379,325, $413,798)","£ 16,900,000 (€ 19,724,877, $21,517,511)",
7,Marcus Rashford,eng ENG,LW,Manchester Utd,26,"£ 300,000 (€ 350,146, $381,968)","£ 15,600,000 (€ 18,207,579, $19,862,318)",
8,Bernardo Silva,pt POR,AM,Manchester City,29,"£ 300,000 (€ 350,146, $381,968)","£ 15,600,000 (€ 18,207,579, $19,862,318)",
9,Jack Grealish,eng ENG,LW,Manchester City,28,"£ 300,000 (€ 350,146, $381,968)","£ 15,600,000 (€ 18,207,579, $19,862,318)",
10,Kai Havertz,de GER,AM,Arsenal,25,"£ 280,000 (€ 326,803, $356,503)","£ 14,560,000 (€ 16,993,740, $18,538,163)",
11,Gabriel Jesus,br BRA,CF,Arsenal,27,"£ 265,000 (€ 309,295, $337,405)","£ 13,780,000 (€ 16,083,361, $17,545,047)",
12,Jadon Sancho,eng ENG,LW,Manchester Utd,24,"£ 250,000 (€ 291,788, $318,306)","£ 13,000,000 (€ 15,172,982, $16,551,931)",
