team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2024/2025,England,16,8,8,0,8,5,3,6,3,3,2,0,2,1.88,2.25,1.5,3,3,4,3,29,15,14,44,23,21,17,12,6,9,11,3,50,42,60,96,120,80,6,4,2,8,4,4,3,1,2,10,6,4,109,71,38,39,15,24,55,58,52,183,114,69,102,66,36,81,48,33,191,93,98,14,7,7,6,1,5,8,6,2,7,5,2,7,3,4,2,0,2,1.75,2.25,1.25,2.75,2.88,2.63,1.81,2.13,1.5,0.94,0.75,1.13,1.25,1,1.5,0.88,0.88,0.88,0.38,0.13,0.63,15,13,6,5,2,2,7,7,4,3,1,1,8,6,2,2,1,1,1,3,10,11,14,14,1,1,4,5,7,7,0,2,6,6,7,7,94,81,38,31,13,13,88,88,50,38,13,13,100,75,25,25,13,13,6,19,62,69,87,87,12,12,50,62,87,87,0,25,75,75,87,87,9,4,3,5,2,1,4,2,2,56,25,19,63,25,13,50,25,25,50,63,38,19,38,50,25,50,50,50,19,13,25,63,75,50,11,7,4,69,88,50,9,3,6,56,38,75,3,1,2,19,13,25,44,63,25,44,38,50,13,0,25,6.81,8.88,4.75,2.44,1.88,3.00,81,75,75,69,38,31,25,13,1.64,2.03,1.24,1.13,0.89,1.37,69,2,2,3,3,4,5,3,3,4,1,3,0,2,1,2,3,1,2,38,38,38,13,0,25,6
Tottenham Hotspur FC,Tottenham Hotspur,2024/2025,England,16,8,8,0,7,4,3,2,1,1,7,3,4,1.44,1.63,1.25,10,11,8,10,36,19,17,55,31,24,20,16,11,8,9,8,40,36,45,76,65,90,4,1,3,9,6,3,3,1,2,8,3,5,131,71,60,35,14,21,59,56,61,199,103,96,113,56,57,86,47,39,183,90,93,18,7,11,9,6,3,9,1,8,8,3,5,3,3,0,5,2,3,1.69,1.5,1.88,3.44,3.88,3,2.25,2.5,2,1.19,1.38,1,1.69,1.63,1.75,1.13,0.88,1.38,0.56,0.75,0.38,16,13,11,8,5,1,8,7,6,5,3,1,8,6,5,3,2,0,0,3,5,8,11,15,0,1,2,3,5,7,0,2,3,5,6,8,100,81,69,50,31,6,100,88,75,63,38,13,100,75,63,38,25,0,0,19,31,50,69,94,0,12,25,37,62,87,0,25,37,62,75,100,14,8,3,6,5,2,8,3,1,88,50,19,75,63,25,100,38,13,44,50,38,-3,25,13,38,56,75,38,19,13,25,50,38,63,8,3,5,50,38,63,7,4,3,44,50,38,3,3,0,19,38,0,50,38,63,19,38,0,31,25,38,8.19,8.88,7.50,2.19,1.75,2.63,100,94,88,88,81,75,69,56,1.74,1.79,1.69,1.30,1.22,1.38,94,4,6,5,2,3,6,1,5,4,1,3,0,4,2,2,4,2,1,13,13,13,44,38,50,44
Manchester City FC,Manchester City,2024/2025,England,16,8,8,0,8,5,3,3,1,2,5,2,3,1.69,2,1.38,5,4,5,5,28,23,5,51,28,23,16,12,12,11,4,1,51,45,60,63,60,65,3,2,1,11,5,6,2,1,1,8,4,4,139,75,64,35,18,17,63,63,64,219,116,103,111,61,50,108,55,53,125,64,61,18,11,7,12,7,5,6,4,2,9,5,4,3,1,2,4,2,2,1.88,2,1.75,3.19,3.5,2.88,1.75,2,1.5,1.44,1.5,1.38,1.88,2.25,1.5,1.13,1.38,0.88,0.75,0.88,0.63,16,15,12,6,2,0,8,7,7,4,2,0,8,8,5,2,0,0,0,1,4,10,14,16,0,1,1,4,6,8,0,0,3,6,8,8,100,94,75,38,13,0,100,88,88,50,25,0,100,100,63,25,0,0,0,6,25,62,87,100,0,12,12,50,75,100,0,0,37,75,100,100,16,9,4,8,6,3,8,3,1,100,56,25,100,75,38,100,38,13,50,63,38,5,19,25,13,69,63,75,13,13,13,50,50,50,6,3,3,38,38,38,3,1,2,19,13,25,7,4,3,44,50,38,56,63,50,19,13,25,25,25,25,8.69,9.38,8.00,2.19,2.25,2.13,94,88,88,88,69,44,38,25,1.98,2.11,1.85,1.07,0.99,1.16,75,4,5,3,6,1,1,1,0,7,5,4,2,0,1,3,1,2,5,19,13,25,31,25,38,13
Leicester City FC,Leicester City,2024/2025,England,16,8,8,0,3,2,1,5,3,2,8,3,5,0.88,1.13,0.63,17,16,18,17,21,34,-13,55,23,32,11,10,12,22,-1,-12,69,65,72,42,60,33,1,1,0,13,7,6,2,0,2,4,2,2,55,25,30,41,22,19,46,48,44,131,64,67,68,30,38,63,34,29,181,96,85,6,3,3,17,6,11,-11,-3,-8,3,2,1,3,1,2,10,5,5,0.75,0.88,0.63,3.44,2.88,4,1.31,1.38,1.25,2.13,1.5,2.75,1.44,1.13,1.75,0.38,0.38,0.38,1.06,0.75,1.38,16,15,12,8,3,1,8,7,5,3,0,0,8,8,7,5,3,1,0,1,4,8,13,15,0,1,3,5,8,8,0,0,1,3,5,7,100,94,75,50,19,6,100,88,63,38,0,0,100,100,88,63,38,13,0,6,25,50,81,94,0,12,37,62,100,100,0,0,12,37,62,87,15,6,1,8,1,0,7,5,1,94,38,6,100,13,0,88,63,13,19,25,13,18,6,13,0,81,88,75,13,0,25,25,25,25,4,2,2,25,25,25,10,5,5,63,63,63,3,1,2,19,13,25,19,25,13,19,13,25,63,63,63,3.44,3.13,3.75,2.56,2.75,2.38,88,69,69,56,44,38,25,19,1.08,1.06,1.09,1.88,1.80,1.96,75,1,1,3,1,2,1,3,3,6,1,6,6,2,6,4,2,2,5,31,38,25,50,38,63,19
Crystal Palace FC,Crystal Palace,2024/2025,England,16,8,8,0,3,1,2,7,4,3,6,3,3,1,0.88,1.13,15,17,12,15,17,21,-4,38,16,22,6,11,10,11,-4,0,85,120,65,69,72,65,3,2,1,9,3,6,5,4,1,7,2,5,82,38,44,41,19,22,43,43,44,174,84,90,91,41,50,83,43,40,175,76,99,7,2,5,7,4,3,0,-2,2,4,1,3,7,4,3,5,3,2,1.19,0.88,1.5,2.38,2,2.75,1.06,0.75,1.38,1.31,1.25,1.38,0.88,0.75,1,0.44,0.25,0.63,0.44,0.5,0.38,15,11,7,5,0,0,7,5,2,2,0,0,8,6,5,3,0,0,1,5,9,11,16,16,1,3,6,6,8,8,0,2,3,5,8,8,94,69,44,31,0,0,88,63,25,25,0,0,100,75,63,38,0,0,6,31,56,69,100,100,12,37,75,75,100,100,0,25,37,62,100,100,10,3,1,5,1,0,5,2,1,63,19,6,63,13,0,63,25,13,19,13,25,-12,19,25,13,56,38,75,31,50,13,44,25,63,9,4,5,56,50,63,11,6,5,69,75,63,2,1,1,13,13,13,25,13,38,44,50,38,31,38,25,5.13,4.75,5.50,2.56,2.38,2.75,94,88,81,69,69,44,38,25,1.38,1.32,1.44,1.40,1.36,1.44,63,3,0,1,2,2,5,0,1,3,1,0,4,1,3,2,4,4,2,44,50,38,38,38,38,19
Everton FC,Everton,2024/2025,England,15,7,8,1,3,2,1,6,3,3,6,2,4,1,1.29,0.75,16,15,16,16,14,21,-7,35,17,18,9,5,8,13,1,-8,97,70,143,64,79,55,6,3,3,5,3,2,8,3,5,5,2,3,62,31,31,28,11,17,40,43,37,143,75,68,69,34,35,74,41,33,162,65,97,7,2,5,7,2,5,0,0,0,4,1,3,7,4,3,4,2,2,1.27,1,1.5,2.33,2.43,2.25,0.93,1.29,0.63,1.4,1.14,1.63,0.93,0.57,1.25,0.47,0.29,0.63,0.47,0.29,0.63,11,10,7,5,2,0,5,5,4,2,1,0,6,5,3,3,1,0,4,5,8,10,13,15,2,2,3,5,6,7,2,3,5,5,7,8,73,67,47,33,13,0,71,71,57,29,14,0,75,63,38,38,13,0,27,33,53,67,87,100,29,29,43,71,86,100,25,37,62,62,87,100,8,5,1,3,1,0,5,4,1,53,33,7,43,14,0,63,50,13,20,29,13,29,40,43,38,33,43,25,53,43,63,33,29,38,10,5,5,67,71,63,11,6,5,73,86,63,1,0,1,7,0,13,27,14,38,47,57,38,27,29,25,4.13,4.43,3.88,1.87,1.57,2.13,80,67,60,53,40,40,27,13,1.25,1.39,1.14,1.41,1.34,1.47,60,1,3,1,2,3,2,0,1,1,1,1,2,2,2,2,2,4,5,40,43,38,40,29,50,7
Southampton FC,Southampton,2024/2025,England,16,8,8,0,1,1,0,2,1,1,13,6,7,0.31,0.5,0.13,20,20,20,20,11,36,-25,47,28,19,7,4,21,15,-14,-11,130,102,180,40,34,48,1,1,0,8,4,4,7,3,4,4,3,1,71,29,42,55,28,27,53,49,57,114,60,54,66,37,29,48,23,25,187,91,96,5,5,0,20,11,9,-15,-6,-9,2,2,0,4,3,1,10,3,7,0.63,1.13,0.13,2.94,3.5,2.38,0.69,0.88,0.5,2.25,2.63,1.88,1.56,2,1.13,0.31,0.63,0,1.25,1.38,1.13,16,11,8,7,4,1,8,6,5,4,4,1,8,5,3,3,0,0,0,5,8,9,12,15,0,2,3,4,4,7,0,3,5,5,8,8,100,69,50,44,25,6,100,75,63,50,50,13,100,63,38,38,0,0,0,31,50,56,75,94,0,25,37,50,50,87,0,37,62,62,100,100,13,6,3,6,5,2,7,1,1,81,38,19,75,63,25,88,13,13,6,13,0,6,6,13,0,50,50,50,44,38,50,25,38,13,5,4,1,31,50,13,12,4,8,75,50,100,2,2,0,13,25,0,13,25,0,25,38,13,63,38,88,4.44,3.63,5.25,3.44,3.5,3.38,100,88,88,81,63,63,50,31,1.03,1.06,1.01,1.85,2.04,1.65,63,2,1,1,0,1,4,0,0,2,4,4,4,4,4,2,6,2,6,13,13,13,81,75,88,19
AFC Bournemouth,AFC Bournemouth,2024/2025,England,16,8,8,0,7,4,3,4,2,2,5,2,3,1.56,1.75,1.38,6,7,7,6,24,21,3,45,18,27,11,13,7,14,4,-1,60,65,55,69,102,51,2,2,0,11,5,6,3,1,2,7,5,2,110,54,56,38,17,21,45,42,48,203,108,95,105,58,47,98,50,48,209,110,99,10,6,4,9,1,8,1,5,-4,5,4,1,6,3,3,5,1,4,1.31,1.88,0.75,2.81,2.25,3.38,1.5,1.38,1.63,1.31,0.88,1.75,1.19,0.88,1.5,0.63,0.75,0.5,0.56,0.13,1,16,13,8,4,3,1,8,6,3,1,0,0,8,7,5,3,3,1,0,3,8,12,13,15,0,2,5,7,8,8,0,1,3,5,5,7,100,81,50,25,19,6,100,75,38,13,0,0,100,88,63,38,38,13,0,19,50,75,81,94,0,25,62,87,100,100,0,12,37,62,62,87,11,4,3,5,1,1,6,3,2,69,25,19,63,13,13,75,38,25,44,50,38,13,13,25,0,69,63,75,19,13,25,44,63,25,9,7,2,56,88,25,10,4,6,63,50,75,2,0,2,13,0,25,31,50,13,38,38,38,31,13,50,6.88,6.75,7.00,2.38,2.13,2.63,100,88,81,75,56,50,38,31,1.65,1.74,1.57,1.43,1.23,1.63,81,3,4,0,3,1,0,2,2,9,2,1,5,1,3,3,1,2,3,25,25,25,31,25,38,25
Manchester United FC,Manchester United,2024/2025,England,16,8,8,0,6,4,2,4,1,3,6,3,3,1.38,1.63,1.13,13,12,11,13,21,19,2,40,24,16,13,8,11,8,2,0,69,55,90,76,65,90,6,3,3,7,3,4,5,2,3,6,4,2,73,38,35,41,23,18,54,53,55,169,86,83,94,48,46,75,38,37,178,89,89,8,5,3,8,5,3,0,0,0,3,2,1,8,3,5,5,3,2,1.06,1.13,1,2.5,3,2,1.31,1.63,1,1.19,1.38,1,1,1.25,0.75,0.5,0.63,0.38,0.5,0.63,0.38,14,13,10,2,1,0,8,7,6,2,1,0,6,6,4,0,0,0,2,3,6,14,15,16,0,1,2,6,7,8,2,2,4,8,8,8,88,81,63,13,6,0,100,88,75,25,13,0,75,75,50,0,0,0,12,19,37,87,94,100,0,12,25,75,87,100,25,25,50,100,100,100,10,6,0,6,4,0,4,2,0,63,38,0,75,50,0,50,25,0,38,50,25,4,38,38,38,44,38,50,31,25,38,38,50,25,9,4,5,56,50,63,11,5,6,69,63,75,2,1,1,13,13,13,19,25,13,50,38,63,31,38,25,4.56,4.75,4.38,2.56,2.88,2.25,88,69,50,44,38,25,19,13,1.43,1.46,1.40,1.25,1.23,1.28,63,1,2,0,3,4,1,4,0,6,2,0,0,3,5,3,0,4,2,25,13,38,38,38,38,13
Liverpool FC,Liverpool,2024/2025,England,15,8,7,1,11,6,5,3,1,2,1,1,0,2.4,2.38,2.43,1,2,2,1,31,13,18,44,20,24,15,16,5,8,10,8,43,48,39,103,143,79,7,4,3,7,3,4,1,1,0,10,5,5,92,43,49,36,18,18,57,57,58,184,101,83,108,63,45,76,38,38,175,87,88,13,7,6,6,2,4,7,5,2,8,5,3,3,1,2,4,2,2,1.8,2,1.57,2.93,2.5,3.43,2.07,1.88,2.29,0.87,0.63,1.14,1.27,1.13,1.43,0.87,0.88,0.86,0.4,0.25,0.57,15,13,9,4,2,1,8,7,4,1,0,0,7,6,5,3,2,1,0,2,6,11,13,14,0,1,4,7,8,8,0,1,2,4,5,6,100,87,60,27,13,7,100,88,50,13,0,0,100,86,71,43,29,14,0,13,40,73,87,93,0,12,50,87,100,100,0,14,29,57,71,86,13,4,2,7,1,1,6,3,1,87,27,13,88,13,13,86,43,14,73,75,71,10,47,50,43,47,38,57,7,13,0,67,63,71,10,6,4,67,75,57,5,3,2,33,38,29,2,0,2,13,0,29,53,63,43,20,13,29,27,25,29,6.13,5.38,7.00,2.4,2.25,2.57,87,80,80,67,67,40,20,7,1.69,1.74,1.64,1.21,1.22,1.19,80,1,4,4,2,4,3,6,2,5,1,2,0,1,3,2,1,2,1,20,13,29,7,13,0,7
