iter	MultiClass
0	1.096221146
1	1.094505975
2	1.092170813
3	1.090169202
4	1.088600696
5	1.086597622
6	1.085016084
7	1.083269222
8	1.080963351
9	1.07893055
10	1.076775776
11	1.075049856
12	1.072927828
13	1.071136497
14	1.069208987
15	1.06759204
16	1.065814633
17	1.063636733
18	1.061770723
19	1.059878845
20	1.057806362
21	1.055990808
22	1.05406705
23	1.052514669
24	1.051086404
25	1.049430861
26	1.047644472
27	1.045963548
28	1.044319701
29	1.043097733
30	1.04090134
31	1.039560546
32	1.037701028
33	1.036279504
34	1.034500527
35	1.032968096
36	1.031505508
37	1.029904542
38	1.028330448
39	1.027054454
40	1.025497821
41	1.023934646
42	1.022581674
43	1.02103448
44	1.01995196
45	1.018696376
46	1.017113676
47	1.015679953
48	1.014641588
49	1.01319957
50	1.011746885
51	1.010597891
52	1.00891427
53	1.00741315
54	1.005884161
55	1.004493262
56	1.003445968
57	1.002302942
58	1.001269098
59	1.000113637
60	0.998724958
61	0.9975120091
62	0.9964788287
63	0.9953983481
64	0.9938822366
65	0.9928197826
66	0.9914774669
67	0.9905197515
68	0.989392496
69	0.9883477776
70	0.9870846264
71	0.9858398494
72	0.9846685115
73	0.9835072851
74	0.9822583617
75	0.9811151986
76	0.9799159585
77	0.9788382797
78	0.977683852
79	0.9765534958
80	0.9753723359
81	0.9743212207
82	0.9732485319
83	0.9717369206
84	0.9705328384
85	0.9693239073
86	0.9682700015
87	0.9673906644
88	0.9662773091
89	0.9653977397
90	0.964551263
91	0.9632470628
92	0.9624955157
93	0.9616672315
94	0.9607112676
95	0.9597317461
96	0.9587854335
97	0.9575210037
98	0.956568861
99	0.9557267198
100	0.9547293407
101	0.9538403799
102	0.952750045
103	0.9514958466
104	0.9504846171
105	0.9495778682
106	0.9486046245
107	0.9472717926
108	0.9460475904
109	0.9452892078
110	0.9444119287
111	0.9436169865
112	0.9424630622
113	0.9415100593
114	0.9406636233
115	0.9399724436
116	0.939160741
117	0.9381925239
118	0.9374882191
119	0.9366160393
120	0.9357244024
121	0.9349936763
122	0.9340644775
123	0.9329377338
124	0.9320951074
125	0.9312027639
126	0.9305791682
127	0.9296895902
128	0.9290156954
129	0.9281993942
130	0.9270278762
131	0.926110964
132	0.9253836653
133	0.9244378691
134	0.9234061618
135	0.9225025487
136	0.9217071518
137	0.9210622969
138	0.9202509767
139	0.9194478317
140	0.9187221886
141	0.9181888193
142	0.9175048247
143	0.9167071245
144	0.9159857549
145	0.9152464329
146	0.9145185804
147	0.9138398703
148	0.9130734399
149	0.912230133
150	0.9114723165
151	0.9106485824
152	0.9098471001
153	0.9091006674
154	0.908278572
155	0.9076009908
156	0.9066651208
157	0.9057367819
158	0.9048680015
159	0.9042554514
160	0.903813239
161	0.9029290619
162	0.9023180406
163	0.901571081
164	0.9009380968
165	0.8999904352
166	0.8991644741
167	0.898462269
168	0.8977901677
169	0.8970963872
170	0.8963110261
171	0.895726917
172	0.8950370496
173	0.8944391415
174	0.8936070265
175	0.8928771093
176	0.8920201018
177	0.8912431276
178	0.8904124979
179	0.8897760001
180	0.8889300036
181	0.8883666932
182	0.8878153286
183	0.8873452248
184	0.8867269081
185	0.8860744609
186	0.8854725564
187	0.8848041668
188	0.8842857008
189	0.8836476804
190	0.8831415108
191	0.8823807566
192	0.8817557192
193	0.8812549532
194	0.8806762747
195	0.8800964657
196	0.8795566538
197	0.8788520736
198	0.878327874
199	0.8777474544
200	0.8772295662
201	0.8765995925
202	0.8758335924
203	0.8754000921
204	0.8745318799
205	0.8739500023
206	0.8734718192
207	0.8729007248
208	0.8721748106
209	0.871598922
210	0.870966355
211	0.8704424872
212	0.869715005
213	0.8690702324
214	0.8684446098
215	0.8679532159
216	0.8674364593
217	0.8669837036
218	0.8664037192
219	0.8658375
220	0.8651921646
221	0.8646163404
222	0.8641427918
223	0.8635728862
224	0.8630232014
225	0.8624905059
226	0.8618885318
227	0.8614336763
228	0.8609044928
229	0.8603128501
230	0.8597422509
231	0.8591284227
232	0.8587534201
233	0.8582960643
234	0.8578716984
235	0.8573720814
236	0.8569118288
237	0.8563138788
238	0.8557110717
239	0.8551635782
240	0.8546285036
241	0.8541265928
242	0.8535055227
243	0.8529007683
244	0.8524151202
245	0.8519874086
246	0.8514290938
247	0.8508619458
248	0.8503535308
249	0.8497354663
250	0.8492894702
251	0.8489260226
252	0.8483646795
253	0.8479720324
254	0.8474242457
255	0.8467904652
256	0.8462445681
257	0.8456852707
258	0.8453432927
259	0.8449712576
260	0.8445533857
261	0.8440953056
262	0.8436603158
263	0.8432919525
264	0.8426447361
265	0.8422073067
266	0.8417923239
267	0.8414090364
268	0.8409442644
269	0.8404665071
270	0.8399170175
271	0.8395638611
272	0.8390570112
273	0.8386072311
274	0.8381757506
275	0.8377739149
276	0.8373726891
277	0.8368938559
278	0.8364607089
279	0.8360815976
280	0.8357192794
281	0.8353987085
282	0.8347967883
283	0.8343551014
284	0.8338156928
285	0.8334746527
286	0.8330899325
287	0.8325801969
288	0.8321995113
289	0.8317008656
290	0.8312251682
291	0.8307441425
292	0.8303083397
293	0.8298416252
294	0.8292069949
295	0.8287516351
296	0.828302144
297	0.8278984916
298	0.8273768741
299	0.8269484012
300	0.8266026586
301	0.8261986562
302	0.8259521134
303	0.8255201493
304	0.8249785833
305	0.8245796167
306	0.82414376
307	0.823823175
308	0.8232035506
309	0.8227658366
310	0.8223027876
311	0.8217786988
312	0.8214240654
313	0.8210143285
314	0.820614474
315	0.8203025015
316	0.8199821425
317	0.8194228174
318	0.8191109058
319	0.8187116268
320	0.8183599775
321	0.8179251398
322	0.8176623746
323	0.8172818204
324	0.8168727787
325	0.8164533863
326	0.8161079132
327	0.8156929909
328	0.8153953433
329	0.8149404472
330	0.8146259543
331	0.814089911
332	0.8136889962
333	0.8132252057
334	0.8128612381
335	0.81247171
336	0.8120446711
337	0.8116555632
338	0.811193236
339	0.810791512
340	0.8104310946
341	0.8101041174
342	0.8097261194
343	0.8094524249
344	0.808995449
345	0.8087232792
346	0.8083786965
347	0.8078605081
348	0.8075832494
349	0.8071936475
350	0.8068615653
351	0.8063472422
352	0.8059093516
353	0.8055971222
354	0.8053264024
355	0.8049352883
356	0.8045039253
357	0.8042541433
358	0.8037781791
359	0.8033901471
360	0.8028775204
361	0.8024172641
362	0.8020059594
363	0.8016624694
364	0.8012731053
365	0.8009738785
366	0.8006079162
367	0.8002016085
368	0.7998366838
369	0.7994826156
370	0.7988986793
371	0.7985232159
372	0.7980972175
373	0.7977307012
374	0.7972835748
375	0.7968675216
376	0.7964935974
377	0.7961428358
378	0.7958613321
379	0.7953489096
380	0.794963761
381	0.7946896051
382	0.7943432682
383	0.7939346901
384	0.7935270709
385	0.7932111992
386	0.7927387602
387	0.7924120754
388	0.7921359879
389	0.7918021232
390	0.7915210662
391	0.7911541311
392	0.7908153845
393	0.7905296206
394	0.7901336432
395	0.7899507218
396	0.7894957313
397	0.7890567726
398	0.7887335247
399	0.78827827
400	0.7879164835
401	0.7875308259
402	0.7871197427
403	0.7868251789
404	0.7864488239
405	0.7861425046
406	0.7857096242
407	0.7853137566
408	0.7850135376
409	0.7846959817
410	0.7843533191
411	0.7840414074
412	0.7837422942
413	0.783318173
414	0.7829630494
415	0.7825509921
416	0.7821565
417	0.7818143389
418	0.7815002017
419	0.7812167296
420	0.7809539471
421	0.7805792924
422	0.7802534693
423	0.7799149154
424	0.779535145
425	0.7791792393
426	0.7788765606
427	0.7785757991
428	0.7783876558
429	0.7780925439
430	0.7777157301
431	0.7773272344
432	0.776920858
433	0.7765314059
434	0.7762219568
435	0.7758774764
436	0.775651637
437	0.7753426833
438	0.7750696014
439	0.774689542
440	0.7743303001
441	0.7739363519
442	0.7737279927
443	0.7733790555
444	0.773113272
445	0.7728615298
446	0.7726226119
447	0.7722279253
448	0.7718720995
449	0.771489949
450	0.7709941497
451	0.7706280499
452	0.7703004129
453	0.76988503
454	0.7694558651
455	0.7691652252
456	0.7688789956
457	0.7685519599
458	0.7682014301
459	0.7678221399
460	0.7674700836
461	0.7671916516
462	0.7668741461
463	0.7665603096
464	0.7663222456
465	0.7661064923
466	0.7657381895
467	0.7653560387
468	0.7649658601
469	0.7646849762
470	0.7642191894
471	0.7638998226
472	0.7635282227
473	0.7632660829
474	0.7630227123
475	0.7625895322
476	0.7622854026
477	0.762056945
478	0.7617219121
479	0.7614401418
480	0.7610578908
481	0.7607094443
482	0.7603253364
483	0.759973856
484	0.7595666889
485	0.7590895523
486	0.75878489
487	0.7585193495
488	0.7580579145
489	0.7577993816
490	0.757468044
491	0.7571143656
492	0.7568829969
493	0.7564357729
494	0.7560699243
495	0.755691005
496	0.7552889992
497	0.7549702767
498	0.7546431416
499	0.7543656935
500	0.7541429512
501	0.7538611377
502	0.7535445444
503	0.7533093003
504	0.7530177461
505	0.752732943
506	0.7525045656
507	0.7521675323
508	0.7519140199
509	0.7515873797
510	0.7512468282
511	0.7508879646
512	0.7506524879
513	0.7503380921
514	0.7499265887
515	0.749644569
516	0.7493747565
517	0.7490488351
518	0.7486730302
519	0.7482868039
520	0.7478611538
521	0.7474268204
522	0.7471064332
523	0.7467537423
524	0.7464922787
525	0.7462280812
526	0.7459027133
527	0.7456267261
528	0.7453130832
529	0.7448659852
530	0.7445605966
531	0.744262878
532	0.7440084905
533	0.7436789933
534	0.7433845028
535	0.742996087
536	0.7427088538
537	0.7424553727
538	0.7421510258
539	0.7418378731
540	0.7415075478
541	0.7412544259
542	0.7409932879
543	0.7406547325
544	0.7403667986
545	0.740114936
546	0.7397907057
547	0.7395229631
548	0.7392794958
549	0.7389553756
550	0.7385982962
551	0.7382772965
552	0.7379876339
553	0.7375303464
554	0.7371082252
555	0.7368592808
556	0.7365364837
557	0.7361388487
558	0.7358394169
559	0.7356551742
560	0.7353095327
561	0.7350296463
562	0.734724848
563	0.7343494555
564	0.7339974331
565	0.7336623614
566	0.7334545495
567	0.7330825357
568	0.7327597106
569	0.7324797322
570	0.7321097958
571	0.7318999728
572	0.7315561684
573	0.7311404834
574	0.7309246163
575	0.7306211567
576	0.7303391438
577	0.7301475221
578	0.7298569075
579	0.7295667936
580	0.7291892332
581	0.7289263368
582	0.7286328919
583	0.7283428962
584	0.7280988198
585	0.7278484111
586	0.7276124795
587	0.7274114275
588	0.7269998882
589	0.7266897092
590	0.7264208698
591	0.726268522
592	0.7260853722
593	0.725657762
594	0.7253342961
595	0.7251417824
596	0.7248278481
597	0.7246825185
598	0.7243806885
599	0.7242266865
600	0.7238965147
601	0.7235483828
602	0.7233033679
603	0.7229957757
604	0.7226890652
605	0.7223730292
606	0.7220279507
607	0.7217113324
608	0.7214147942
609	0.7210471557
610	0.720716616
611	0.7205350229
612	0.7201418956
613	0.7199500781
614	0.7197505757
615	0.7194851963
616	0.7191555806
617	0.7189192518
618	0.718592325
619	0.7182842867
620	0.7179184276
621	0.7176612126
622	0.7172137239
623	0.7168773869
624	0.7165490074
625	0.7163238717
626	0.7160255741
627	0.7156687363
628	0.7153615736
629	0.7151134555
630	0.7146150134
631	0.7144225188
632	0.714198554
633	0.7139558861
634	0.7136503398
635	0.7133798669
636	0.7131393588
637	0.7128172328
638	0.712509427
639	0.7122089313
640	0.7118888324
641	0.7116085444
642	0.7112678259
643	0.710958644
644	0.7107069338
645	0.7102590313
646	0.7099913796
647	0.7096165292
648	0.7093660911
649	0.709088203
650	0.7087403306
651	0.7083968259
652	0.7081679905
653	0.7078613491
654	0.7075482231
655	0.7072977044
656	0.7069713703
657	0.7065533589
658	0.7062207598
659	0.7058892279
660	0.7056033266
661	0.7052619568
662	0.7049281483
663	0.7046567801
664	0.7043096382
665	0.7040321018
666	0.703836641
667	0.7036092138
668	0.7032987848
669	0.703038753
670	0.7028024993
671	0.7025027048
672	0.7021597956
673	0.7019248484
674	0.7014747906
675	0.7011335719
676	0.7008631362
677	0.7004932853
678	0.7002810385
679	0.6999584326
680	0.6997099014
681	0.69941502
682	0.6990557098
683	0.6987870825
684	0.6986501576
685	0.6983046765
686	0.6979532732
687	0.6976079726
688	0.6973165518
689	0.6969438456
690	0.6966119516
691	0.6963191195
692	0.6960425077
693	0.6958098492
694	0.6955354506
695	0.6952411167
696	0.694918008
697	0.6945264007
698	0.6942502454
699	0.6939566083
700	0.6936313021
701	0.6933479669
702	0.6930545627
703	0.6926784783
704	0.6924127129
705	0.6920837944
706	0.6916817534
707	0.6914204334
708	0.691103693
709	0.6908229619
710	0.6905967662
711	0.6902782907
712	0.6899947887
713	0.6897054546
714	0.6893671019
715	0.6889896605
716	0.6887328881
717	0.6884004017
718	0.6881114976
719	0.6877615656
720	0.6874269894
721	0.6871048609
722	0.6867661478
723	0.6864700032
724	0.6860772023
725	0.6857037303
726	0.6854512639
727	0.685035807
728	0.6848048258
729	0.6844524881
730	0.6840882742
731	0.6837235209
732	0.6833899984
733	0.6830808988
734	0.6827779497
735	0.6824814908
736	0.6822488343
737	0.6819673103
738	0.6816857131
739	0.6814228565
740	0.6811005286
741	0.6807504341
742	0.6803751727
743	0.6800728607
744	0.6796806658
745	0.6794563948
746	0.6791681709
747	0.6788710893
748	0.6785188417
749	0.6782254396
750	0.6779150808
751	0.6776346396
752	0.6773636878
753	0.6770329213
754	0.6766508976
755	0.6763687374
756	0.6760253349
757	0.6757278228
758	0.6755132649
759	0.6751364111
760	0.6748111656
761	0.6745222773
762	0.6742215834
763	0.6739860511
