iter	Passed	Remaining
0	189	189196
1	214	106980
2	241	80401
3	267	66527
4	293	58490
5	318	52690
6	343	48775
7	372	46164
8	397	43744
9	422	41789
10	447	40264
11	473	39009
12	498	37825
13	523	36834
14	549	36097
15	573	35267
16	597	34560
17	624	34079
18	650	33566
19	674	33029
20	700	32671
21	724	32217
22	749	31817
23	775	31553
24	800	31215
25	825	30930
26	856	30859
27	880	30573
28	904	30291
29	931	30134
30	957	29918
31	982	29718
32	1007	29520
33	1031	29319
34	1057	29161
35	1083	29007
36	1107	28834
37	1131	28655
38	1157	28519
39	1182	28390
40	1208	28271
41	1236	28198
42	1261	28066
43	1286	27958
44	1313	27882
45	1338	27761
46	1365	27689
47	1393	27628
48	1416	27488
49	1441	27390
50	1467	27314
51	1492	27207
52	1518	27127
53	1543	27039
54	1568	26945
55	1593	26859
56	1620	26803
57	1645	26722
58	1671	26656
59	1696	26573
60	1720	26489
61	1746	26423
62	1772	26362
63	1797	26284
64	1822	26220
65	1849	26179
66	1875	26121
67	1902	26072
68	1928	26018
69	1951	25932
70	1975	25850
71	2002	25805
72	2027	25745
73	2052	25684
74	2078	25639
75	2101	25554
76	2127	25503
77	2151	25437
78	2176	25370
79	2200	25310
80	2229	25297
81	2259	25298
82	2289	25297
83	2313	25227
84	2338	25172
85	2365	25135
86	2390	25090
87	2415	25028
88	2439	24975
89	2465	24929
90	2490	24875
91	2515	24822
92	2540	24781
93	2566	24732
94	2590	24678
95	2617	24645
96	2641	24592
97	2665	24531
98	2690	24489
99	2716	24446
100	2741	24399
101	2766	24354
102	2790	24300
103	2815	24258
104	2841	24219
105	2866	24176
106	2892	24137
107	2918	24103
108	2942	24056
109	2967	24008
110	2993	23973
111	3017	23922
112	3042	23884
113	3070	23864
114	3098	23842
115	3124	23809
116	3152	23790
117	3179	23761
118	3204	23723
119	3231	23696
120	3257	23661
121	3289	23675
122	3331	23756
123	3357	23717
124	3381	23672
125	3408	23645
126	3432	23598
127	3457	23555
128	3483	23521
129	3507	23470
130	3532	23430
131	3559	23404
132	3584	23365
133	3608	23323
134	3634	23286
135	3658	23241
136	3685	23214
137	3710	23176
138	3734	23129
139	3758	23089
140	3783	23050
141	3808	23014
142	3834	22979
143	3861	22952
144	3886	22917
145	3910	22872
146	3938	22853
147	3963	22818
148	3989	22783
149	4038	22884
150	4066	22865
151	4092	22833
152	4118	22799
153	4142	22754
154	4165	22710
155	4191	22676
156	4215	22634
157	4239	22593
158	4266	22567
159	4290	22527
160	4317	22501
161	4342	22462
162	4367	22425
163	4393	22395
164	4419	22363
165	4444	22331
166	4470	22301
167	4495	22264
168	4520	22227
169	4545	22191
170	4569	22154
171	4594	22118
172	4618	22077
173	4644	22048
174	4668	22008
175	4694	21978
176	4719	21943
177	4743	21904
178	4768	21870
179	4804	21886
180	4828	21849
181	4853	21815
182	4879	21784
183	4903	21748
184	4928	21713
185	4954	21683
186	4979	21646
187	5003	21611
188	5028	21575
189	5052	21538
190	5077	21507
191	5106	21490
192	5130	21452
193	5155	21417
194	5179	21380
195	5203	21343
196	5227	21307
197	5254	21282
198	5278	21248
199	5304	21218
200	5330	21190
201	5355	21157
202	5381	21129
203	5405	21091
204	5429	21056
205	5456	21030
206	5480	20996
207	5504	20960
208	5528	20923
209	5554	20897
210	5579	20864
211	5605	20835
212	5631	20809
213	5655	20773
214	5682	20745
215	5707	20715
216	5731	20680
217	5756	20650
218	5781	20619
219	5806	20586
220	5837	20576
221	5862	20544
222	5886	20511
223	5911	20479
224	5936	20446
225	5960	20412
226	5985	20383
227	6011	20355
228	6036	20324
229	6060	20289
230	6086	20263
231	6111	20230
232	6136	20201
233	6161	20170
234	6185	20136
235	6212	20111
236	6237	20080
237	6261	20048
238	6286	20016
239	6312	19988
240	6335	19953
241	6360	19921
242	6385	19893
243	6410	19861
244	6437	19836
245	6463	19810
246	6489	19782
247	6514	19753
248	6539	19724
249	6565	19696
250	6591	19668
251	6616	19638
252	6641	19610
