Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
vs Arsenal,29,38.0,962,25.32,690,95,54,47,58,18,86,2.26,56,10,4,6,10,0
vs Aston Villa,28,38.0,1072,28.21,790,85,62,66,54,15,107,2.82,74,8,9,7,7,2
vs Bournemouth,27,38.0,976,25.68,764,61,54,54,26,17,108,2.84,77,2,8,12,6,3
vs Brighton,25,38.0,874,23.0,632,66,69,48,43,16,92,2.42,70,5,5,6,5,1
vs Burnley,22,38.0,951,25.03,713,71,49,54,46,18,80,2.11,55,3,7,7,4,4
vs Chelsea,27,38.0,553,14.55,372,64,31,34,41,11,89,2.34,62,8,8,5,5,1
vs Crystal Palace,25,38.0,888,23.37,629,95,48,48,54,14,82,2.16,64,3,5,7,3,0
vs Everton,24,38.0,770,20.26,549,68,59,41,47,6,95,2.5,61,7,11,7,9,0
vs Leicester City,24,38.0,671,17.66,476,62,39,30,47,17,68,1.79,48,4,2,2,10,2
vs Liverpool,24,38.0,586,15.42,430,51,45,30,21,9,51,1.34,35,7,2,4,3,0
vs Manchester City,24,38.0,491,12.92,339,39,38,28,36,11,59,1.55,37,5,6,4,5,2
vs Manchester Utd,29,38.0,680,17.89,481,50,50,39,50,10,56,1.47,37,5,7,5,2,0
vs Newcastle Utd,28,38.0,1023,26.92,749,90,58,63,53,10,97,2.55,72,4,7,6,5,3
vs Norwich City,30,38.0,1074,28.26,768,100,66,70,48,22,121,3.18,79,9,10,11,9,3
vs Sheffield Utd,26,38.0,768,20.21,559,59,59,39,47,5,67,1.76,51,4,4,5,2,1
vs Southampton,25,38.0,769,20.24,546,74,52,52,36,9,107,2.82,75,7,12,5,6,2
vs Tottenham,29,38.0,956,25.16,659,82,78,64,57,16,74,1.95,45,6,8,6,7,2
vs Watford,26,38.0,885,23.29,635,61,65,52,59,13,106,2.79,64,4,11,14,12,1
vs West Ham,29,38.0,885,23.29,657,72,61,45,41,9,106,2.79,78,5,11,6,6,0
vs Wolves,21,38.0,694,18.26,487,66,52,37,49,3,66,1.74,44,5,7,6,4,0
