Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,29,46.3,38.0,21798,2223,6362,9657,6012,943,21791,613,363,59.2,249,40.6,12392,67373,35280,759,603,232,521,335,13864,1361
vs Aston Villa,28,55.9,38.0,24385,2244,6762,10847,6995,1124,24379,597,374,62.6,223,37.4,14320,76343,41258,838,606,257,528,300,16041,1805
vs Bournemouth,27,55.9,38.0,25513,2214,7267,11967,6490,965,25507,567,360,63.5,207,36.5,14703,76072,39525,743,576,207,543,300,16577,1662
vs Brighton,25,47.8,38.0,22698,2286,7201,10219,5513,873,22696,642,397,61.8,245,38.2,12826,70721,36753,773,514,223,550,396,14192,1325
vs Burnley,22,58.1,38.0,24517,2323,7873,10580,6246,895,24512,585,345,59.0,240,41.0,14297,77390,41013,857,569,231,518,307,15690,1528
vs Chelsea,27,39.6,38.0,21108,2691,7489,9424,4394,584,21106,604,358,59.3,247,40.9,11069,56452,26910,464,381,113,636,392,12342,1134
vs Crystal Palace,25,55.2,38.0,24860,2097,6741,11771,6538,898,24859,711,395,55.6,316,44.4,14378,77660,42198,769,609,171,604,370,16070,1676
vs Everton,24,51.0,38.0,22967,2340,7355,10583,5246,733,22963,672,390,58.0,282,42.0,12773,68555,35386,675,460,176,568,389,14272,1392
vs Leicester City,24,43.0,38.0,20944,2337,6652,9396,5129,670,20934,725,427,58.9,298,41.1,11229,60961,30620,653,512,133,639,444,12236,1205
vs Liverpool,24,37.1,38.0,19713,3135,8296,7801,3830,557,19712,589,371,63.0,217,36.8,10107,52721,26527,514,388,146,540,332,10834,932
vs Manchester City,24,33.8,38.0,18612,3315,8332,7160,3313,501,18609,605,375,62.0,230,38.0,9773,51720,25801,448,324,121,484,284,10844,793
vs Manchester Utd,29,44.2,38.0,21522,2443,7158,9321,5282,698,21519,634,380,59.9,254,40.1,11798,62581,30744,648,501,176,572,325,13041,1184
vs Newcastle Utd,28,61.0,38.0,27554,1870,6190,14017,7574,1006,27552,632,359,56.8,273,43.2,16873,89007,45990,808,663,196,620,330,19370,1868
vs Norwich City,30,50.7,38.0,23793,1850,5880,10739,7402,1131,23786,700,433,61.9,267,38.1,13899,74699,39077,846,628,259,540,361,15314,1772
vs Sheffield Utd,26,56.9,38.0,26644,2500,8708,12112,6017,797,26641,647,385,59.5,261,40.3,15689,84647,45113,840,596,191,550,349,17867,1410
vs Southampton,25,51.1,38.0,22982,2401,7769,9935,5478,866,22977,794,469,59.1,324,40.8,12385,63277,31887,644,431,199,627,382,13308,1437
vs Tottenham,29,48.0,38.0,23303,2177,6624,10997,5921,890,23296,681,428,62.8,253,37.2,13295,71747,37162,715,530,195,622,412,14591,1543
vs Watford,26,57.1,38.0,25766,2339,7733,12130,6172,815,25757,715,446,62.4,266,37.2,15320,81818,43577,844,634,200,597,389,16880,1643
vs West Ham,29,55.9,38.0,25818,2189,7242,12451,6371,938,25812,745,445,59.7,300,40.3,15254,83499,44580,855,644,178,525,396,17194,1712
vs Wolves,21,51.7,38.0,24140,2211,6621,12217,5539,686,24137,685,404,59.0,281,41.0,13955,74499,38496,702,561,143,546,365,15703,1392
