Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,29,38.0,79,1,0,459,408,52,784,425,388,8,3,0,1898,589,501,54.0
vs Aston Villa,28,38.0,90,7,6,543,431,43,857,346,315,5,3,1,1905,742,705,51.3
vs Bournemouth,27,38.0,67,3,0,410,347,71,812,402,389,2,4,2,2047,835,792,51.3
vs Brighton,25,38.0,61,1,0,342,372,70,676,428,385,2,2,4,2021,577,690,45.5
vs Burnley,22,38.0,42,3,1,393,401,50,820,293,319,5,3,2,1911,917,937,49.5
vs Chelsea,27,38.0,76,3,0,397,368,43,518,434,381,2,7,0,2091,701,703,49.9
vs Crystal Palace,25,38.0,88,5,3,492,410,31,843,449,425,1,3,2,2018,776,771,50.2
vs Everton,24,38.0,61,2,1,410,452,78,655,383,358,3,1,2,2009,835,860,49.3
vs Leicester City,24,38.0,69,3,0,460,397,65,647,432,402,7,7,2,2038,674,659,50.6
vs Liverpool,24,38.0,47,0,0,322,309,142,551,456,346,1,5,2,2089,588,655,47.3
vs Manchester City,24,38.0,53,1,0,312,343,83,420,477,337,2,11,2,1708,498,515,49.2
vs Manchester Utd,29,38.0,79,2,1,450,404,67,692,485,385,1,14,1,2037,512,557,47.9
vs Newcastle Utd,28,38.0,57,2,1,436,355,52,868,341,334,2,1,0,1924,781,733,51.6
vs Norwich City,30,38.0,58,2,1,444,344,39,893,430,400,5,2,1,2158,673,518,56.5
vs Sheffield Utd,26,38.0,46,0,0,326,387,57,761,351,296,2,1,3,1963,886,946,48.4
vs Southampton,25,38.0,67,3,1,414,428,69,737,428,362,3,5,0,2087,878,810,52.0
vs Tottenham,29,38.0,83,1,1,442,411,54,740,450,410,6,4,5,2112,671,642,51.1
vs Watford,26,38.0,66,1,1,356,466,81,746,386,351,9,8,1,2138,802,823,49.4
vs West Ham,29,38.0,45,0,0,356,367,99,770,392,333,5,4,0,2138,801,855,48.4
vs Wolves,21,38.0,85,5,2,384,379,41,664,380,381,2,4,2,2039,711,775,47.8
