Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Arsenal,2,26.3,41.8,38,38,3420,38,28,20,48,26,2,10,82,2,27.9,25.7,19.9,45.6,534,938,0.74,0.53,1.26,0.68,1.21,0.73,0.52,1.26,0.68,1.2,220,80,25,8.42,2.11,0.08,0.33,18.3,0,0.08,0.1,0.3,213,652,32.7,59629,28836,6176,328,88.9,5121,5958,86,1113,2437,45.7,18.7,0.1,226,409,163,33,20289,1591,39,72,476,562,14,74,31,1,60,492,531,13.97,376,35,30,365,23,44,1.16,24,4,4,5,2,5,679,376,8332,8198,3972,304,51.8,503,272,299,978,875,23,20292,3159,570,272,44.4,271,44.3,11433,159,455,339,12601,922,90,100,84,270,147,22,192,0.53,29,91,-62,-1.63,27.9,76.1,-48.2,-1.27,2,407,2,10,5,1585,499,49.8,91,2.39,219,133,63,5,5,28,5,13.2,10,0,0,0,70.5,0.28,-15.5,-0.41,1193,125,39.6,35.3,54.9,40.6,518,28,5.4,36,0.95,12.7,2023/2024
vs Aston Villa,2,26.2,46.9,38,38,3420,38,57,45,102,56,1,4,94,4,59.9,58.2,48.9,107.2,640,1255,1.5,1.18,2.68,1.47,2.66,1.58,1.29,2.87,1.53,2.82,147,171,37.7,11.92,4.5,0.12,0.33,15.7,1,0.13,-2.9,-2.2,136,334,40.7,65150,34304,7055,228,90.7,5620,6445,87.2,1190,2221,53.6,39.3,-3.9,360,423,292,59,21374,1442,124,83,542,508,7,84,52,5,167,413,820,21.58,586,72,53,394,17,102,2.68,70,9,6,8,4,5,731,435,6845,9746,4982,315,47.7,334,266,304,1035,751,20,21376,2242,893,290,46.5,260,41.7,12396,225,462,287,14068,1232,90,100,83,258,156,19,184,1,61,76,-15,-0.39,59.9,63.3,-3.4,-0.09,2,483,2,4,4,1825,363,52.1,76,2,186,114,61.3,10,8,20,6,15.8,4,0,0,0,62.1,0.33,-9.9,-0.26,820,163,29,31.6,42.1,36.3,476,33,6.9,62,1.63,15.4,2023/2024
vs Bournemouth,3,26.2,55.6,38,38,3420,38,66,44,110,60,6,3,82,2,58.1,52.5,39.9,92.4,720,1500,1.74,1.16,2.89,1.58,2.74,1.53,1.05,2.58,1.38,2.43,161,187,35.5,13.87,4.92,0.11,0.32,16.6,0,0.1,7.9,7.5,250,650,38.5,71745,35487,7889,316,88.4,6246,7331,85.2,1395,2722,51.2,42.3,4.1,402,489,359,66,24607,1909,65,71,649,743,11,89,55,5,50,476,934,24.58,681,77,60,487,17,112,2.95,82,3,6,11,8,2,800,480,8577,10035,6266,414,52,582,315,264,1064,813,14,24614,2739,1091,363,46.9,325,42,13547,242,620,368,15730,1485,90,100,82,262,154,19,187,1.5,67,54,13,0.34,58.1,55.9,2.2,0.06,1,396,6,3,2,1910,671,53.6,54,1.42,177,125,70.6,16,9,13,7,18.4,2,0,1,0,47.7,0.26,-4.3,-0.11,1289,161,37,34.1,54.7,41.3,557,34,6.1,60,1.58,15.5,2023/2024
vs Brentford,2,26.1,54.8,38,38,3420,38,65,50,115,63,2,3,75,4,56,54.4,43.6,98,847,1585,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58,125,182,33.3,14.37,4.79,0.12,0.35,17.8,2,0.1,9,8.6,228,717,31.8,75272,38766,8497,278,89.6,6112,7202,84.9,1287,2632,48.9,40.7,6.4,417,746,425,89,24876,1759,47,90,764,731,6,106,72,4,56,444,980,25.79,778,54,58,371,23,119,3.13,94,5,7,7,3,3,540,329,6726,10242,8181,269,52.5,632,319,293,833,916,17,24878,2517,1028,380,50.7,317,42.3,14619,222,580,360,16241,1568,90,100,83,280,136,19,206,1.74,65,56,9,0.24,56,58.2,-2.2,-0.06,3,434,2,3,2,1870,607,49,56,1.47,162,108,67.3,19,9,10,8,21.1,3,0,0,0,52.5,0.31,-1.5,-0.04,1039,151,52,40.7,63.7,44.9,557,50,9,50,1.32,15.5,2023/2024
vs Brighton,2,26.3,40.2,38,38,3420,38,60,42,102,54,6,6,99,5,55.4,50.7,39.3,90,651,1175,1.58,1.11,2.68,1.42,2.53,1.46,1.03,2.49,1.33,2.37,165,159,34.4,12.16,4.18,0.12,0.34,16.3,0,0.11,4.6,3.3,174,626,27.8,63550,31288,6362,286,90.1,5618,6430,87.4,1136,2396,47.4,33,2.7,339,413,293,46,20824,1572,50,72,526,560,6,98,38,9,71,454,814,21.42,599,51,64,399,19,95,2.5,68,3,7,7,7,3,664,396,7640,8574,4840,322,52,406,289,355,1019,733,12,20830,2739,930,351,47.5,307,41.5,11776,246,431,337,13319,1165,90,100,80,263,153,18,188,1.42,62,55,7,0.18,55.4,56.8,-1.4,-0.04,3,461,5,6,5,1722,345,45.9,55,1.45,204,153,75.5,14,12,12,10,26.3,5,1,0,16.7,62.8,0.28,12.8,0.34,1280,157,36.7,34.4,54.5,41.1,515,31,6,32,0.84,13.6,2023/2024
vs Burnley,2,26.3,52.6,38,38,3420,38,75,54,129,69,6,3,84,3,70.4,64.9,52,116.9,711,1501,1.97,1.42,3.39,1.82,3.24,1.85,1.37,3.22,1.71,3.08,111,237,39,16,6.24,0.11,0.29,16.1,0,0.11,4.6,4.1,218,559,39,71362,35157,7590,261,88.1,6753,7790,86.7,1384,2735,50.6,43.6,2,474,451,413,88,24351,1748,76,98,700,696,4,139,57,5,95,413,1095,28.82,815,89,53,422,25,128,3.37,89,7,9,10,8,5,625,387,7698,10948,5926,329,52.3,561,302,292,917,691,12,24357,2490,1184,300,44.8,284,42.5,13786,269,558,323,15955,1486,90,100,82,273,145,18,195,2.13,78,41,37,0.97,70.4,40.6,29.7,0.78,1,369,7,3,1,1883,696,55.4,41,1.08,140,100,72.9,24,9,5,12,31.6,3,0,0,0,36.3,0.24,-3.7,-0.1,1156,152,38,33.9,46,36.5,426,18,4.2,39,1.03,16.3,2023/2024
vs Chelsea,2,26.3,41.4,38,38,3420,38,60,43,103,57,3,12,100,4,58.1,54.1,42,96.1,727,1368,1.58,1.13,2.71,1.5,2.63,1.53,1.1,2.63,1.42,2.53,147,182,33,14.5,4.79,0.1,0.31,16.9,1,0.1,1.9,2.9,172,463,37.1,63676,34886,6231,254,88,5230,6113,85.6,1273,2394,53.2,35.8,1,415,458,319,87,20866,1699,56,107,683,645,9,97,46,8,70,458,967,25.45,669,92,53,430,30,95,2.5,69,8,3,10,4,1,735,438,7052,8333,5718,365,47.8,440,311,374,1109,708,21,20871,2485,1031,307,42.5,323,44.7,11209,253,514,340,12918,1351,90,100,84,263,154,21,187,1.11,63,77,-14,-0.37,58.1,74.5,-16.4,-0.43,3,466,5,12,1,1808,402,47.7,77,2.03,206,129,68,11,9,18,6,15.8,11,1,0,8.3,71.3,0.3,-4.7,-0.12,1064,197,32,32.4,48.4,37.4,426,34,8,70,1.84,17.4,2023/2024
vs Crystal Palace,3,26.3,57.7,38,38,3420,38,56,46,102,53,3,4,78,2,52,49.6,40.3,89.9,679,1713,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37,133,151,33,12.03,3.97,0.12,0.35,15.8,1,0.11,4,3.4,122,404,30.2,84641,42863,9181,246,90,8090,9172,88.2,1479,2729,54.2,37.3,5.7,345,579,360,92,27520,1833,65,132,769,781,3,103,60,4,74,452,832,21.89,607,86,34,439,11,104,2.74,84,7,3,5,4,1,746,446,8439,12486,6795,320,48.4,553,319,301,1047,695,17,27523,2457,914,272,39.4,337,48.8,16221,160,601,451,19015,1694,90,100,85,258,158,18,183,1.45,58,57,1,0.03,52,48.6,3.4,0.09,1,441,3,4,1,1884,555,50.1,57,1.5,166,110,68.1,15,10,13,7,18.4,4,0,0,0,49.1,0.28,-6.9,-0.18,1257,193,26.3,29,30.1,30.3,452,31,6.9,50,1.32,15.4,2023/2024
vs Everton,1,26.3,59.2,38,38,3420,38,48,30,78,40,8,3,61,2,55.2,49.1,37.3,86.5,790,1642,1.26,0.79,2.05,1.05,1.84,1.45,0.98,2.43,1.29,2.28,130,157,29.6,13.95,4.13,0.08,0.25,16.9,1,0.1,-7.2,-9.1,123,401,30.7,84307,44356,8781,312,89.4,7837,8928,87.8,1567,2941,53.3,34.3,-7.3,401,513,355,87,27198,1970,53,140,716,815,12,98,70,4,62,423,951,25.03,695,79,53,444,16,81,2.13,56,3,5,9,7,1,587,335,9728,11425,6268,267,51.6,676,293,262,849,873,18,27206,2937,1050,354,44.8,347,43.9,15899,243,577,396,18485,1624,90,100,85,271,146,19,194,1.5,51,40,11,0.29,55.2,54,1.2,0.03,0,373,6,3,0,1916,577,46,40,1.05,155,114,75.5,16,9,13,12,31.6,2,1,0,33.3,44.6,0.29,4.6,0.12,1377,249,21.8,28.6,32.4,30.2,588,50,8.5,60,1.58,14.7,2023/2024
vs Fulham,1,26.1,49.4,38,38,3420,38,57,36,93,49,8,2,65,0,62.9,56.9,43.7,100.7,684,1533,1.5,0.95,2.45,1.29,2.24,1.66,1.15,2.81,1.5,2.65,124,182,35.3,13.55,4.79,0.1,0.27,16.6,0,0.11,-5.9,-7.9,143,400,35.8,75437,39616,7779,282,89.2,6745,7729,87.3,1315,2484,52.9,39.2,-7.7,389,485,320,61,24265,1612,73,109,597,651,10,76,71,4,99,505,916,24.11,660,76,58,373,16,99,2.61,65,4,12,6,11,1,557,333,7724,10902,5864,232,46.1,487,381,321,878,815,16,24273,2541,1009,332,43.8,346,45.6,14394,212,534,333,16060,1518,90,100,82,263,158,21,183,1.55,61,55,6,0.16,62.9,50.8,12.1,0.32,0,385,8,2,1,1857,509,51.1,55,1.45,177,123,70.1,17,8,13,13,34.2,2,0,0,0,54.8,0.3,0.8,0.02,1116,209,25.6,29.4,40.4,35.8,600,33,5.5,52,1.37,14.8,2023/2024
