Player,Squad,Weekly Wages
Kevin De Bruyne,Manchester City,"£ 400,000 (€ 466,861, $509,290)"
Erling Haaland,Manchester City,"£ 375,000 (€ 437,682, $477,460)"
Casemiro,Manchester Utd,"£ 350,000 (€ 408,503, $445,629)"
Mohamed Salah,Liverpool,"£ 350,000 (€ 408,503, $445,629)"
Raheem Sterling,Chelsea,"£ 325,000 (€ 379,325, $413,798)"
Romelu Lukaku,Chelsea,"£ 325,000 (€ 379,325, $413,798)"
Marcus Rashford,Manchester Utd,"£ 300,000 (€ 350,146, $381,968)"
Bernardo Silva,Manchester City,"£ 300,000 (€ 350,146, $381,968)"
Jack Grealish,Manchester City,"£ 300,000 (€ 350,146, $381,968)"
Kai Havertz,Arsenal,"£ 280,000 (€ 326,803, $356,503)"
Gabriel Jesus,Arsenal,"£ 265,000 (€ 309,295, $337,405)"
Jadon Sancho,Manchester Utd,"£ 250,000 (€ 291,788, $318,306)"
Mason Mount,Manchester Utd,"£ 250,000 (€ 291,788, $318,306)"
João Cancelo,Manchester City,"£ 250,000 (€ 291,788, $318,306)"
John Stones,Manchester City,"£ 250,000 (€ 291,788, $318,306)"
Reece James,Chelsea,"£ 250,000 (€ 291,788, $318,306)"
Declan Rice,Arsenal,"£ 240,000 (€ 280,117, $305,574)"
Martin Ødegaard,Arsenal,"£ 240,000 (€ 280,117, $305,574)"
Bruno Fernandes,Manchester Utd,"£ 240,000 (€ 280,117, $305,574)"
Phil Foden,Manchester City,"£ 225,000 (€ 262,609, $286,476)"
Virgil van Dijk,Liverpool,"£ 220,000 (€ 256,774, $280,110)"
Rodri,Manchester City,"£ 220,000 (€ 256,774, $280,110)"
Thomas Partey,Arsenal,"£ 200,000 (€ 233,431, $254,645)"
Antony,Manchester Utd,"£ 200,000 (€ 233,431, $254,645)"
Joško Gvardiol,Manchester City,"£ 200,000 (€ 233,431, $254,645)"
Ben Chilwell,Chelsea,"£ 200,000 (€ 233,431, $254,645)"
Wesley Fofana,Chelsea,"£ 200,000 (€ 233,431, $254,645)"
Bukayo Saka,Arsenal,"£ 195,000 (€ 227,595, $248,279)"
Matthijs de Ligt,Manchester Utd,"£ 195,000 (€ 227,595, $248,279)"
Christopher Nkunku,Chelsea,"£ 195,000 (€ 227,595, $248,279)"
William Saliba,Arsenal,"£ 190,000 (€ 221,759, $241,913)"
Harry Maguire,Manchester Utd,"£ 190,000 (€ 221,759, $241,913)"
Son Heung-min,Tottenham,"£ 190,000 (€ 221,759, $241,913)"
Gabriel Martinelli,Arsenal,"£ 180,000 (€ 210,087, $229,181)"
Trent Alexander-Arnold,Liverpool,"£ 180,000 (€ 210,087, $229,181)"
Manuel Akanji,Manchester City,"£ 180,000 (€ 210,087, $229,181)"
Rúben Dias,Manchester City,"£ 180,000 (€ 210,087, $229,181)"
Enzo Fernández,Chelsea,"£ 180,000 (€ 210,087, $229,181)"
Kyle Walker,Manchester City,"£ 175,000 (€ 204,252, $222,814)"
Marc Cucurella,Chelsea,"£ 175,000 (€ 204,252, $222,814)"
Player,Squad,Weekly Wages
James Maddison,Tottenham,"£ 170,000 (€ 198,416, $216,448)"
Cristian Romero,Tottenham,"£ 165,000 (€ 192,580, $210,082)"
Timo Werner,Tottenham,"£ 165,000 (€ 192,580, $210,082)"
Bruno Guimarães,Newcastle Utd,"£ 160,000 (€ 186,744, $203,716)"
Nathan Aké,Manchester City,"£ 160,000 (€ 186,744, $203,716)"
Ben White,Arsenal,"£ 150,000 (€ 175,073, $190,984)"
Oleksandr Zinchenko,Arsenal,"£ 150,000 (€ 175,073, $190,984)"
Christian Eriksen,Manchester Utd,"£ 150,000 (€ 175,073, $190,984)"
Luke Shaw,Manchester Utd,"£ 150,000 (€ 175,073, $190,984)"
Lucas Paquetá,West Ham,"£ 150,000 (€ 175,073, $190,984)"
Alexis Mac Allister,Liverpool,"£ 150,000 (€ 175,073, $190,984)"
Alisson,Liverpool,"£ 150,000 (€ 175,073, $190,984)"
Ryan Gravenberch,Liverpool,"£ 150,000 (€ 175,073, $190,984)"
Boubacar Kamara,Aston Villa,"£ 150,000 (€ 175,073, $190,984)"
Youri Tielemans,Aston Villa,"£ 150,000 (€ 175,073, $190,984)"
Joelinton,Newcastle Utd,"£ 150,000 (€ 175,073, $190,984)"
Lloyd Kelly,Newcastle Utd,"£ 150,000 (€ 175,073, $190,984)"
Kalvin Phillips,Manchester City,"£ 150,000 (€ 175,073, $190,984)"
Mateo Kovačić,Manchester City,"£ 150,000 (€ 175,073, $190,984)"
Kepa Arrizabalaga,Chelsea,"£ 150,000 (€ 175,073, $190,984)"
Moisés Caicedo,Chelsea,"£ 150,000 (€ 175,073, $190,984)"
Darwin Núñez,Liverpool,"£ 140,000 (€ 163,401, $178,252)"
Diogo Jota,Liverpool,"£ 140,000 (€ 163,401, $178,252)"
Jamie Vardy,Leicester City,"£ 140,000 (€ 163,401, $178,252)"
Ollie Watkins,Aston Villa,"£ 130,000 (€ 151,730, $165,519)"
Matheus Nunes,Manchester City,"£ 130,000 (€ 151,730, $165,519)"
Cole Palmer,Chelsea,"£ 130,000 (€ 151,730, $165,519)"
Abdoulaye Doucouré,Everton,"£ 130,000 (€ 151,730, $165,519)"
Bernd Leno,Fulham,"£ 130,000 (€ 151,730, $165,519)"
Danny Ings,West Ham,"£ 125,000 (€ 145,894, $159,153)"
Kurt Zouma,West Ham,"£ 125,000 (€ 145,894, $159,153)"
Philippe Coutinho,Aston Villa,"£ 125,000 (€ 145,894, $159,153)"
