Date,Open,High,Low,Close,Adj Close,Volume
17/01/2024,0.855,0.877,0.75,0.798,0.798,314700
18/01/2024,0.791,0.809,0.7,0.716,0.716,281900
19/01/2024,0.711,0.729,0.66,0.67,0.67,311900
22/01/2024,0.69,0.699,0.61,0.668,0.668,394600
23/01/2024,0.695,0.701,0.63,0.656,0.656,485200
24/01/2024,0.66,0.66,0.551,0.575,0.575,402600
25/01/2024,0.57,0.61,0.5,0.505,0.505,646100
26/01/2024,0.504,0.542,0.501,0.52,0.52,457700
29/01/2024,0.539,0.686,0.521,0.686,0.686,1047900
30/01/2024,0.719,0.729,0.536,0.563,0.563,511300
31/01/2024,0.579,0.593,0.531,0.562,0.562,282000
01/02/2024,0.58,0.678,0.551,0.587,0.587,596300
02/02/2024,0.6,0.609,0.5,0.525,0.525,344000
05/02/2024,0.524,0.525,0.388,0.4,0.4,702500
06/02/2024,0.398,0.419,0.383,0.403,0.403,258500
07/02/2024,0.419,0.53,0.391,0.445,0.445,856100
08/02/2024,0.439,0.459,0.4,0.43,0.43,536100
09/02/2024,0.425,0.49,0.42,0.462,0.462,416600
12/02/2024,0.469,0.54,0.432,0.464,0.464,919600
13/02/2024,0.456,0.494,0.41,0.411,0.411,536900
14/02/2024,0.412,0.418,0.388,0.418,0.418,490000
15/02/2024,0.41,0.466,0.401,0.45,0.45,278100
16/02/2024,0.436,0.436,0.387,0.399,0.399,413100
20/02/2024,0.405,0.406,0.3,0.331,0.331,1106400
21/02/2024,0.331,0.349,0.319,0.329,0.329,257500
22/02/2024,0.328,0.35,0.312,0.343,0.343,421500
23/02/2024,0.349,0.359,0.311,0.324,0.324,339300
26/02/2024,0.32,0.374,0.315,0.365,0.365,664400
27/02/2024,0.368,0.39,0.36,0.387,0.387,424800
28/02/2024,0.377,0.38,0.344,0.347,0.347,357100
29/02/2024,0.352,0.361,0.319,0.337,0.337,382900
01/03/2024,0.345,0.47,0.332,0.419,0.419,1548400
04/03/2024,0.442,0.443,0.395,0.395,0.395,277400
05/03/2024,0.4,0.4,0.371,0.384,0.384,268400
06/03/2024,0.384,0.465,0.35,0.364,0.364,1463100
07/03/2024,0.385,0.385,0.325,0.353,0.353,300200
08/03/2024,0.352,0.359,0.33,0.331,0.331,268000
11/03/2024,0.34,0.38,0.326,0.348,0.348,592700
12/03/2024,0.358,0.358,0.302,0.306,0.306,1517100
13/03/2024,0.302,0.339,0.285,0.31,0.31,774600
14/03/2024,0.323,0.323,0.291,0.291,0.291,271500
15/03/2024,0.3,0.309,0.288,0.296,0.296,129100
18/03/2024,0.304,0.32,0.296,0.307,0.307,279700
19/03/2024,0.308,0.311,0.29,0.293,0.293,485200
20/03/2024,0.29,0.3,0.281,0.288,0.288,317800
21/03/2024,0.29,0.29,0.27,0.281,0.281,366800
22/03/2024,0.29,0.29,0.26,0.28,0.28,496700
25/03/2024,0.272,0.282,0.262,0.264,0.264,220200
26/03/2024,0.27,0.273,0.24,0.24,0.24,674700
27/03/2024,0.254,0.254,0.201,0.234,0.234,1085800
28/03/2024,0.237,0.237,0.212,0.214,0.214,501400
01/04/2024,0.214,0.28,0.214,0.272,0.272,1106600
02/04/2024,0.269,0.269,0.24,0.258,0.258,344800
03/04/2024,0.251,0.269,0.243,0.243,0.243,176500
04/04/2024,0.25,0.253,0.22,0.227,0.227,717900
05/04/2024,0.236,0.236,0.22,0.224,0.224,529600
08/04/2024,0.233,0.238,0.22,0.226,0.226,502600
09/04/2024,0.234,0.293,0.232,0.262,0.262,907400
10/04/2024,0.251,0.267,0.244,0.251,0.251,245600
11/04/2024,0.257,0.288,0.24,0.259,0.259,1305700
